User ID,577527df498eb2fb3b377a72,55b3857a498eb61da338a745,5190816b498e0202f5bd665f,4f96abffe4b0d6680052c9a1,5007d42ae4b09eefeb1d3592,57c8311f498e1cd138798f40,5069d5a0e4b0e86559e557c2,568d6ef4498e26b6b16271b7,56f2f160498e46624357be9c,5262bc5211d24d2698e52205,4ed3350729c223f92c2e9f49,57d9202b498ee3a7322ada66,4e117c9fb0fbfef99b92481e,51dfe77b498ea62726bdd9db,5204d729ccdacb9bfb17126f,51a4960a498ea3d3fc2bce0e,52711ea811d2cb33109b2de5,,
1,0,2.9954,5.2034,1.0111,4.9857,2.9954,0,1.0111,0,0,0,1.0111,0,1.0111,0,0,1.0111,0,1.0111
2,0,1.3812,0,1.011,3.9936,0,4.7317,0,3.9936,1.3812,0,0,4.7317,0,1.3812,0,0,4.7317,0
3,1.008,0,3.5869,0,0,1.0058,0,0,1.008,0,3.5869,4.9856,3.5869,4.9856,0,3.5869,4.9856,3.5869,4.9856
4,1.0101,0.732,0,3.995,1.0101,0,3.3014,3.995,0,0.732,0,0,0,3.995,0.732,0,0,0,3.995
5,0,1.0168,4.9848,0,2.9684,1.0168,4.9848,3.9926,2.9684,1.0168,0,3.9926,4.9848,0,1.0168,0,3.9926,4.9848,0
6,0,2.9954,5.2034,1.0111,4.9857,2.9954,0,1.0111,0,0,0,1.0111,0,1.0111,0,0,1.0111,0,1.0111
7,0,1.3812,0,1.011,3.9936,0,4.7317,0,3.9936,1.3812,0,0,4.7317,0,1.3812,0,0,4.7317,0
8,1.008,0,3.5869,0,0,1.0058,0,0,1.008,0,3.5869,4.9856,3.5869,4.9856,0,3.5869,4.9856,3.5869,4.9856
9,1.0101,0.732,0,3.995,1.0101,0,3.3014,3.995,0,0.732,0,0,0,3.995,0.732,0,0,0,3.995
10,0,1.0168,4.9848,0,2.9684,1.0168,4.9848,3.9926,2.9684,1.0168,0,3.9926,4.9848,0,1.0168,0,3.9926,4.9848,0
