User ID,4e8095cf93ad9a6b59a5d6e3,4e0ef6add164fff335b04a96,4e65e56e1495676d572fc4e0,51d849eb498eb4a6d564649a,51dd844e498e931bcab254e8,4b0587f8f964a5209ba922e3,4cd208d448b837048bcffcde,4d2efd7de0435481af1fb5ed,4cee43ba7db3224ba0ea262e,4dbfe8be93a0b5a1561f386b,55011fb4498e5fd35f6cafbd,58b2b1ad2980db0b0fdabfa8,4b91f946f964a520c1e133e3,542e8bdc498ed37e3bdb51c2,4da2bfa8540ea1cd736982de,5767bc6f498edaf26e224862,4eb93ad2f5b94bd85d62efc9,4d4832ac9b63cbfff209b008,4c41663ee26920a1a3785ee7,4e730e4aa8095a7c421d3559,4e4209f4d22d38bfd45f5473,594f438931fd145b630efbb0,59f42d6282a75015063dc767,4e2d7f9baeb745b1fad81e01,4e1269d11495c8d31bcfb2cc,523fe40a11d2f588b6b12ac0,4e87ec62dab42dc67d3dfb4f,53e8677d498e2b3e91e7edd1,4df9994d1f6e2728c9f03628,4e27c10ee4cd6c6cb34035b4,55f818a2498ed2a4629593e9,4f27c20ee4b0dfdabc8d5f0e,4d328f6f2c76a1431b9072c7,4d8d8bbd6174a09326beb3e3,55991de9498e69837d0acebc,4d021bb3e5f16ea8500ea928,4d4026247a516ea8cd27b882,4dc3f3ec887717c87ffc71a4,4de3196ed22d2a4ecdd6b65a,54a646ae498ee573efd611cb,4d61271f338bb60c3edf30bd,5216f03811d2112627776ff2,500e5a89e4b0daa60ffe6eef,4d6c87b4369ba093d013c94c,56b54984498e0980084e8fa6,55c59cb8498e87a05e9578aa,4d92f282fa1ef04d442561c7,4e9eda02823139c86b6d0239,4bfd83454cf820a1a594ecf4,4d0cb4c21f6bf04d28e27831,4d1349e6058fa35d86002d9f,4c89c574770fb60c6306cdc3,5274e708498ee1b51258eadc,4d3f86b1adb6236a2e1a8040,4d63e633e85bcbffd1963d19,4d3d10373ec9a35db64d4e81,503b4e2de4b0bd2ec56fc759,4f718d54e4b0c719b26edd30,4c418e65d7fad13a0ab407da,4e6ab66c62e1cd1d54d4e851,56713dcc498ece84b179c7fe,58e74a5c65ca01746a4b1184,4c9d86548afca093711bf815,57958fb9498ef0947f818fd9,50320af7e4b06d3d094c6291,51289492e4b0ce665e79da0e,4dfb5722628460789532f4be,53d661b6498e67ffa9c85564,5145426be4b0b07d63ced2f3,4c1e060b63750f475017b967,4e13ffb7b0fb5dfdd0785e93,52552b06498e49207227b34f
1,1,4,6,2,5,3,2,2,6,6,3,5,4,3,4,2,5,2,4,5,3,3,4,1,5,2,1,5,5,1,6,2,6,5,3,6,3,4,5,1,5,4,5,1,1,1,1,2,2,3,3,6,3,5,6,5,3,3,1,5,1,3,3,1,2,6,6,4,2,2,6,4
2,4,5,1,1,5,1,1,2,6,3,1,2,3,1,1,2,5,6,3,4,6,6,1,5,3,6,3,4,1,5,5,1,2,3,3,1,2,6,1,1,5,3,4,5,2,5,3,5,5,2,5,6,3,5,2,1,5,6,3,6,4,4,2,3,6,2,3,1,3,4,5,2
3,6,1,2,2,3,1,4,2,1,2,2,6,3,4,2,3,3,1,4,5,4,2,2,5,5,3,6,3,6,3,1,4,6,1,2,3,3,5,2,5,3,6,4,5,2,3,3,4,1,3,5,2,4,1,4,4,6,2,6,6,4,4,1,5,3,3,5,4,6,3,4,5
4,2,2,4,5,5,4,3,3,1,4,1,1,6,4,2,6,2,5,6,4,3,4,2,6,2,4,3,4,5,1,3,1,3,1,4,2,5,5,5,1,6,1,6,3,5,1,6,2,1,1,3,5,4,6,3,6,6,4,5,5,5,5,5,3,4,4,6,1,3,4,4,2
5,2,4,3,3,2,5,1,3,6,6,5,3,6,4,4,6,4,3,3,6,5,6,6,3,4,3,1,3,1,6,1,3,3,6,1,4,5,3,6,5,6,2,5,5,5,4,6,3,1,2,3,1,4,1,6,6,3,4,2,6,1,1,4,5,6,4,4,4,3,3,4,6
6,6,5,4,2,6,3,1,3,4,2,4,5,2,3,5,6,5,2,2,1,3,5,4,1,3,1,5,6,2,4,3,1,6,6,5,5,6,6,5,3,5,4,4,3,2,5,3,5,6,4,3,3,3,5,4,6,4,2,1,2,3,5,4,3,5,3,5,5,4,2,2,2
7,3,6,3,1,1,3,1,6,2,5,6,4,4,3,6,2,2,4,2,5,6,1,4,6,2,1,1,3,6,5,2,3,2,2,4,5,1,4,5,2,2,1,1,4,3,3,6,2,3,1,5,3,3,3,2,4,6,3,3,1,6,3,6,6,2,5,2,6,5,6,5,5
8,2,3,1,1,4,4,5,5,6,2,1,1,6,3,6,6,4,1,5,2,5,4,1,3,6,2,6,3,4,6,4,2,6,5,1,6,3,2,4,3,5,1,6,6,2,6,5,3,5,6,3,6,6,4,4,1,2,2,4,2,5,6,5,5,1,6,4,5,2,1,2,3
9,2,5,4,1,4,4,2,2,6,2,2,4,1,1,1,5,3,2,4,6,5,6,4,6,6,3,3,4,4,2,6,3,6,1,5,6,2,4,2,1,3,1,6,4,4,3,3,3,2,2,2,3,1,1,6,2,4,5,4,5,1,1,1,6,4,3,2,3,3,2,4,1
10,4,3,2,2,2,2,3,6,2,4,5,2,5,4,5,2,3,3,1,1,6,6,4,1,3,4,2,5,5,4,2,3,5,4,1,3,5,1,3,4,2,6,5,6,4,1,4,2,2,3,1,6,5,3,5,3,1,2,2,4,4,4,1,4,2,4,6,1,4,5,5,3
