User ID,50d30aafe4b0d14de6663205,522f0d3911d2f2b793480c9e,50424770e4b0068b20b9e8e5,4bbb2c0a935e9521aad42890,4e562f4c88778407705d93a6,53fdb19f498ed00f02ff45cb,51e99c62498ea1519cd495b5,4e20b488aeb7026395285312,4e5a3209fa76d2b00c174ddc,4e09cc4e6284d9ee92e499cb,516a798ee4b0657c8e4e1cf3,4ddcd78a1f6e54b34d9298c4,4d4e9bb9db1b3704054a0f1f,5ae1a520598e64002c13ab91,51d6ff7f498e51494b0eed98,503b93e4e4b0451d7e04ac45,4efeea3530f89923316826d8,504b86c8e4b0548541d1e8e6,518cf9dd498e29a3b9f9fff2
1,3.0,5.0,5.0,4.0,1.0,5.0,1.0,3.0,1.0,5.0,2.0,5.0,1.0,1.0,4.0,2.0,2.0,5.0,3.0
2,1.0,6.0,5.0,1.0,6.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0,5.0,2.0,4.0,5.0,6.0,1.0,3.0
3,4.0,5.0,4.0,5.0,1.0,5.0,3.0,5.0,5.0,3.0,1.0,6.0,2.0,4.0,4.0,5.0,4.0,1.0,1.0
4,2.0,3.0,2.0,3.0,6.0,6.0,1.0,4.0,4.0,5.0,2.0,5.0,6.0,4.0,5.0,3.0,5.0,5.0,2.0
5,1.0,4.0,2.0,6.0,3.0,6.0,4.0,3.0,5.0,6.0,2.0,1.0,6.0,5.0,5.0,2.0,2.0,6.0,5.0
6,3.0,2.0,4.0,2.0,1.0,2.0,5.0,6.0,1.0,5.0,2.0,4.0,4.0,6.0,2.0,4.0,5.0,6.0,5.0
7,1.0,4.0,1.0,3.0,6.0,1.0,3.0,2.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,6.0,1.0,4.0,3.0
8,3.0,6.0,4.0,4.0,3.0,5.0,2.0,5.0,2.0,3.0,6.0,5.0,2.0,6.0,6.0,6.0,4.0,5.0,5.0
9,6.0,1.0,2.0,3.0,2.0,3.0,6.0,2.0,1.0,1.0,4.0,1.0,2.0,5.0,2.0,4.0,3.0,6.0,1.0
10,6.0,1.0,3.0,1.0,5.0,1.0,6.0,3.0,6.0,1.0,4.0,5.0,3.0,4.0,4.0,5.0,6.0,4.0,3.0
