User ID,5375d200498eabb5b8710c8d,50707208e4b0cff861b2f22d,4ce37f97a3c6721e53cf10cf,4ea1f20f5c5cd12b356df8fd,53654cba498eb6229e4c1fd3,4d19a1ae81cea35d1582f6ec,5882f09d7b88a73bb3e5b5cb,58b6c06b102f471b835056a3,56360f9c498eccf54a14c5f8,5482d04b498e985cf4c4b6e5,52795002498e1f960641973f,5360e4ae498e7a9783e399a3,58c3edcc26a40712f78f515e,543ffc03498ef2c0e1045605,524d6eb3498ee3a28914a111,524d73a9498e0517797427c3,52cfd40c11d2437404287e20,4be3ad9421d5a59367d91911,4b602959f964a520f7d729e3,4c94c58f94a0236af5618f12,4bb733c5f562ef3ba91a3197,5a142268419a9e7a3dbd3d48,5a14245a6bd36b576ce1fa9e,543ffe0e498e4aa9300e8665,4e7f71dedab454087b45950e,52c1ade411d2cfa8dc7b7529,4e356e31483bf3839a2e4d44,4d64a42f6ccdba7aaa6d9ac3,4e643f1a7d8b85408a7351e6,537b4e98498e0a58c09af7d8,521f1e6111d21ac51d08992e,5aa15c8b66f3cd226a29a75f,52eb5018498e7977ca026263,5400d6d5498e28387bfa6c82,50ca02c0245f2d4aa8c2b260,52654e1011d21121b1c3dde3,4b0587f3f964a520eba822e3,57791567498eceb358368650,54046431498ed729c05d04eb,52d902c311d2b72949384db2,543ffda7498e3fe882597d63,58c26e7d297c16462e592d92,58c27c9537da1d593433db28,4fe728f9e4b05fe3b7db1fb0,4fe7295ee4b0c9ca8a433577,4fe728bae4b01b7b6c4e78c5,58b05785cf445111b7d1fb26,529b362e11d2458deca7d07e,4d9c4b5933caf04d23d9d6c5
1,5.0,5.0,3.0,6.0,5.0,4.0,2.0,6.0,6.0,1.0,2.0,3.0,6.0,1.0,6.0,1.0,6.0,3.0,6.0,5.0,2.0,2.0,4.0,6.0,5.0,5.0,5.0,1.0,2.0,1.0,5.0,1.0,6.0,3.0,1.0,1.0,6.0,1.0,2.0,3.0,5.0,6.0,3.0,6.0,5.0,5.0,4.0,3.0,3.0
2,4.0,4.0,4.0,3.0,2.0,1.0,4.0,1.0,4.0,6.0,2.0,1.0,6.0,1.0,1.0,5.0,2.0,1.0,3.0,4.0,4.0,1.0,6.0,4.0,4.0,3.0,2.0,3.0,5.0,2.0,5.0,3.0,4.0,6.0,1.0,5.0,6.0,5.0,1.0,4.0,4.0,2.0,2.0,5.0,4.0,3.0,5.0,6.0,3.0
3,6.0,3.0,4.0,2.0,3.0,4.0,5.0,6.0,3.0,2.0,6.0,4.0,5.0,6.0,5.0,5.0,4.0,2.0,6.0,5.0,1.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,6.0,5.0,6.0,2.0,6.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,6.0,3.0,1.0,3.0,5.0
4,4.0,6.0,2.0,1.0,2.0,5.0,3.0,1.0,3.0,2.0,2.0,4.0,4.0,5.0,5.0,6.0,3.0,5.0,2.0,6.0,3.0,5.0,4.0,3.0,6.0,4.0,1.0,5.0,2.0,5.0,3.0,4.0,5.0,6.0,4.0,4.0,3.0,3.0,2.0,3.0,6.0,3.0,1.0,5.0,6.0,2.0,4.0,3.0,3.0
5,4.0,5.0,4.0,6.0,1.0,5.0,4.0,2.0,6.0,6.0,2.0,2.0,2.0,4.0,5.0,6.0,5.0,4.0,3.0,6.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,6.0,1.0,1.0,4.0,5.0,5.0,2.0,4.0,1.0,4.0,5.0,5.0,6.0,4.0,6.0,5.0,6.0,6.0,3.0
6,5.0,3.0,4.0,4.0,3.0,2.0,5.0,6.0,4.0,6.0,4.0,6.0,5.0,5.0,3.0,2.0,5.0,4.0,3.0,2.0,4.0,3.0,5.0,4.0,4.0,6.0,3.0,4.0,5.0,5.0,6.0,4.0,2.0,3.0,4.0,3.0,5.0,6.0,6.0,5.0,2.0,3.0,3.0,3.0,6.0,2.0,4.0,3.0,3.0
7,2.0,2.0,5.0,5.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,1.0,1.0,6.0,5.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,6.0,2.0,3.0,1.0,1.0,4.0,2.0,5.0,5.0,4.0,6.0,6.0,1.0,3.0,5.0,6.0,4.0,5.0,6.0,3.0,1.0,6.0,1.0,1.0
8,6.0,5.0,3.0,2.0,2.0,4.0,5.0,4.0,2.0,1.0,1.0,6.0,5.0,2.0,1.0,2.0,2.0,4.0,5.0,1.0,3.0,6.0,5.0,6.0,6.0,1.0,5.0,5.0,3.0,5.0,4.0,2.0,6.0,2.0,6.0,3.0,6.0,1.0,1.0,5.0,3.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0
9,5.0,6.0,5.0,1.0,5.0,2.0,2.0,5.0,3.0,6.0,6.0,3.0,5.0,1.0,3.0,1.0,6.0,4.0,6.0,4.0,6.0,4.0,2.0,3.0,6.0,6.0,5.0,2.0,5.0,1.0,5.0,1.0,3.0,4.0,4.0,5.0,1.0,5.0,6.0,6.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,5.0
10,3.0,1.0,2.0,5.0,2.0,2.0,6.0,1.0,5.0,3.0,2.0,3.0,6.0,6.0,5.0,2.0,1.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,3.0,5.0,2.0,1.0,6.0,5.0,4.0,2.0,6.0,3.0,1.0,1.0,3.0,4.0,4.0,5.0,5.0,5.0,6.0,1.0,6.0,5.0,3.0,3.0,4.0
