User ID,50f296e1e4b04c17519e70e0,5866942f18384c42bf0995ca,4bbf785db083a593d77fa3e9,4df34eaa88772e1f81533b87,51bc5678498e5ce3eb0c6dbc,4d46729bbf61a1cd4fc31cac,4e71c57ce4cd7aa6d6f40a53,4d440f5ebf61a1cdd39304ac,4bbe3eda79eaef3b07e4aec3,559a8201498e83c3c23d2813,53b944d5498efa33b1503a54,58268878bd894937eef7c144,5630bbd4498ebd921b682626,4dd370e81f6e5374d6da1596,4d96c8440caaa143bb3881b3,528c7b6311d2270ae6d3e08d
1,6.0,1.0,3.0,4.0,2.0,6.0,2.0,5.0,2.0,5.0,1.0,5.0,4.0,4.0,6.0,2.0
2,1.0,1.0,5.0,4.0,1.0,4.0,5.0,4.0,5.0,1.0,1.0,2.0,6.0,2.0,3.0,2.0
3,6.0,2.0,2.0,3.0,3.0,3.0,2.0,6.0,6.0,2.0,3.0,4.0,3.0,2.0,6.0,5.0
4,1.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,5.0,1.0,6.0,5.0,1.0,5.0,3.0,1.0
5,5.0,6.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,6.0,5.0,6.0,3.0,3.0,4.0,6.0
6,5.0,2.0,4.0,6.0,4.0,5.0,4.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0
7,1.0,4.0,1.0,4.0,4.0,1.0,5.0,4.0,6.0,4.0,5.0,6.0,2.0,1.0,6.0,6.0
8,6.0,1.0,3.0,6.0,1.0,6.0,6.0,3.0,1.0,3.0,5.0,6.0,4.0,4.0,3.0,6.0
9,5.0,3.0,1.0,5.0,4.0,4.0,2.0,3.0,6.0,3.0,1.0,6.0,1.0,4.0,3.0,2.0
10,2.0,4.0,4.0,5.0,6.0,3.0,4.0,6.0,5.0,1.0,1.0,5.0,4.0,4.0,3.0,1.0
