User ID,4d8e1cba6174a0930935c0e3,515afd2be4b06344fe3fed40,4bd860ec5cf276b084129d00,4bd0fe8520cd9960999c2e9e,4ebfdd999a52cce4f390494a,4c6d29ce23c1a1cd18681bcf,4b05884af964a520c2bc22e3,596a10e42e26800cfe35bb4c,59c943153b4e0073c2aa0896,4bdd45a2645e0f47f3346b19,4fb778a1e4b08bf8635aa592,561d242d498ed8ec10cd44eb,57f4a281498eb7b66be61368,57f879ff498e2bb7c7d1437b,59647578f2905e202cd04c11,4e3d4fe4483b04e17a93bad1,5097fc32e4b075af1ad0cacf,57cd1d7238fa90333eb87687,4bdd4072b0f5c928ee0c4ce3,59ca5b3a2e268023f33fbee9,59e4d487c53093308649793c,57ad526d498ea969ef3b375e,57846e80498ef88fd63c0607,4c7f6e33d860b60ce6ce609d,57ac76dc498e8198fc752a36,52f75b7911d23b0ae15973a4,4e18add5d4c062b044eac83f,4c337a383896e21eb919ea90,57f40da4cd10f37478f6ff85,4b51b501f964a520215327e3,4e29ab4262e17c3301aaad64,4bdd49edf219c9b6e4551210,5a594eeb3fcee83be02132ff,51d1a169498ecb3464e98056,59073c6106fb607961e92bd1,51d58a08498e7454226a1f05,4c091464009a0f471a13e7bf,4bb4ebe829269c7478d1ca92,4f3eed5de4b028ca5852d467,4e7e634fd3e3579ac2eed8e3,59919ac8b54618751d04999d,4b11943cf964a520c47f23e3,51098aafe4b0ee50db1fb749,4e2168b7fa761d67107baa17,4ad771aaf964a5208a0a21e3,4b6c6bcdf964a520cb382ce3,531b1fc111d2e82fb07d7c36,4c7af47aa86837040564154d,5834983c739d8554fbc51d09,5143a6e2e4b0fd5caf543460,5176b10c19a97326d9fd0501,4bdf79eb0d69b713651e66d3,5734bb18cd102222053da082,4fd340ede4b03b5ad9aeab58,4c1614a97f7f2d7f7454e368,4bf6dde05317a59368fafc7e,51b36d55498e71dde6a33cd4,581e34c4195c4b4b898b05be,59f4f45d535d6f6eee498c85,56ababa0498ecac563d35165,58024b11d67cc1f3ed066713,4b6a0016f964a520d9c02be3,4e06162e1f6e2110338426c0,5460caa7498e6f9983467fdf,4d7366144ab5224b6e1ccd97,5a3a22b53abcaf3ecd0ab03c,4ec806630e6158baff375ab3,530d3b2c498e64025c0cb3bb,58a5fb1146563a1ef30c3d9f,4bf7d4dd5ec320a1249087d3,4df2622bd4c01ff6b2e836ed,5552f3b6498e387914b727c6,51b8b1b4498e880f73b8642e,4ca88883d971b1f7703d15e1,5141ca751648f331c6ec4e49,53036f1b498ea1443072b1ea,503b481de4b0486977cd988d,4f489b7ce4b0d637413eb794,52ea2b75498ee2a8671a0d72,4ac518f8f964a520fcaf20e3,56f29237498ee1d1e1f5c6be,4ebfa1420e019a162ab0a58a,501acd50e4b0d92ed779f536,4f8aac07be77b15e3ab51459,4b2e3b5df964a52081dd24e3,514d7486e4b069b90343f581,595b72a92bf9a971a2a070be,5048582be4b05630681216e3,4ec90ac55c5ce271bf681ed4,4e763c2b62e1263516c55bfe,4c5e62d8857ca593c4b8cfcb,5817735738facfe51049d708,4e145b2c6284431b5355e373,58a41f340593e16c45b16766,50cf48f8e4b03ef08bb9d60a,4fc2585be4b0a3bda11c9deb,4e10757ffa769d21e9e43ccb,4c97aee9f7cfa1cdc38cd015,4bc5741cccbcef3b1491e6d2,4fdde5cee4b07b2b870d3b80,4b826aa5f964a52023d230e3,5a301217a3061971dd4cdb77,57af0153cd104c46ba26120d
1,5.0,4.0,6.0,1.0,5.0,5.0,1.0,2.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,6.0,5.0,5.0,1.0,2.0,2.0,5.0,3.0,6.0,5.0,1.0,3.0,1.0,4.0,3.0,1.0,5.0,4.0,2.0,2.0,5.0,5.0,6.0,1.0,3.0,6.0,1.0,2.0,1.0,5.0,4.0,6.0,4.0,4.0,5.0,3.0,5.0,6.0,5.0,3.0,6.0,3.0,4.0,3.0,3.0,4.0,3.0,6.0,1.0,3.0,4.0,1.0,1.0,6.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,1.0,1.0,3.0,3.0,6.0,1.0,4.0,5.0,6.0,3.0,4.0,2.0,4.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,4.0,3.0,4.0
2,5.0,1.0,1.0,2.0,4.0,6.0,6.0,1.0,3.0,1.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,6.0,4.0,6.0,2.0,5.0,6.0,6.0,5.0,6.0,3.0,6.0,3.0,5.0,6.0,4.0,6.0,3.0,5.0,2.0,1.0,1.0,2.0,2.0,6.0,3.0,6.0,5.0,5.0,1.0,6.0,3.0,1.0,2.0,5.0,2.0,4.0,2.0,3.0,3.0,6.0,6.0,3.0,1.0,4.0,5.0,6.0,6.0,2.0,6.0,6.0,1.0,4.0,6.0,3.0,2.0,1.0,4.0,3.0,6.0,6.0,6.0,4.0,5.0,5.0,2.0,1.0,6.0,6.0,2.0,1.0,5.0,2.0,3.0,4.0,2.0,1.0,5.0,1.0,2.0,3.0,6.0,5.0,6.0,3.0,4.0,2.0
3,6.0,4.0,5.0,2.0,6.0,3.0,6.0,1.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,6.0,5.0,5.0,6.0,4.0,5.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,1.0,2.0,4.0,3.0,5.0,5.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,5.0,3.0,6.0,5.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,3.0,2.0,5.0,2.0,5.0,3.0,5.0,1.0,5.0,2.0,5.0,5.0,2.0,5.0,2.0,2.0,1.0,6.0,3.0,3.0,3.0,2.0,6.0,1.0,3.0,3.0,2.0,3.0,1.0,6.0,2.0,1.0,3.0,5.0,5.0,2.0,6.0,6.0,5.0,3.0,1.0,2.0,1.0,2.0
4,4.0,3.0,4.0,2.0,5.0,1.0,6.0,6.0,3.0,6.0,5.0,1.0,6.0,5.0,6.0,5.0,3.0,5.0,3.0,1.0,5.0,2.0,6.0,4.0,5.0,3.0,5.0,4.0,2.0,5.0,6.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,2.0,4.0,6.0,3.0,6.0,5.0,2.0,4.0,4.0,5.0,3.0,3.0,5.0,2.0,3.0,6.0,1.0,3.0,6.0,5.0,6.0,2.0,1.0,1.0,3.0,1.0,6.0,3.0,4.0,6.0,3.0,2.0,5.0,4.0,2.0,4.0,1.0,2.0,3.0,5.0,6.0,6.0,1.0,4.0,6.0,5.0,6.0,4.0,5.0,2.0,3.0,4.0,3.0,1.0,6.0,5.0,5.0,1.0,3.0,5.0,2.0,6.0
5,1.0,5.0,4.0,4.0,3.0,1.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,2.0,6.0,6.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,3.0,3.0,3.0,5.0,2.0,3.0,5.0,2.0,4.0,5.0,5.0,3.0,6.0,6.0,6.0,3.0,4.0,1.0,4.0,3.0,2.0,6.0,3.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,2.0,5.0,6.0,1.0,1.0,1.0,5.0,6.0,6.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,5.0,6.0,6.0,4.0,6.0,3.0,4.0,2.0,3.0,6.0,1.0,6.0,6.0,1.0
6,2.0,5.0,3.0,5.0,3.0,3.0,3.0,1.0,6.0,3.0,6.0,5.0,5.0,5.0,4.0,6.0,4.0,3.0,5.0,2.0,3.0,4.0,4.0,1.0,5.0,2.0,6.0,6.0,5.0,4.0,3.0,2.0,5.0,6.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,5.0,4.0,5.0,5.0,3.0,6.0,5.0,1.0,2.0,1.0,6.0,1.0,2.0,4.0,6.0,6.0,2.0,1.0,3.0,6.0,2.0,4.0,4.0,3.0,5.0,4.0,6.0,2.0,2.0,6.0,3.0,3.0,5.0,4.0,2.0,2.0,6.0,3.0,5.0,4.0,2.0,2.0,1.0,2.0,1.0,5.0,6.0,1.0,6.0,2.0,5.0,4.0,4.0,6.0,6.0,1.0,5.0,2.0,6.0,1.0,1.0
7,3.0,6.0,6.0,6.0,6.0,6.0,3.0,2.0,2.0,1.0,5.0,2.0,4.0,1.0,3.0,2.0,6.0,6.0,1.0,4.0,5.0,2.0,1.0,2.0,3.0,5.0,4.0,6.0,6.0,1.0,2.0,5.0,1.0,2.0,1.0,5.0,6.0,4.0,1.0,3.0,4.0,4.0,1.0,5.0,6.0,4.0,6.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,5.0,1.0,3.0,1.0,5.0,6.0,5.0,1.0,2.0,6.0,1.0,5.0,1.0,1.0,6.0,1.0,1.0,5.0,4.0,2.0,3.0,3.0,3.0,6.0,4.0,1.0,3.0,2.0,6.0,1.0,4.0,4.0,3.0,6.0,5.0,6.0,3.0,5.0,5.0,3.0,4.0,6.0,6.0,6.0,1.0,6.0,3.0
8,2.0,4.0,3.0,5.0,1.0,6.0,6.0,4.0,4.0,4.0,1.0,6.0,5.0,6.0,4.0,4.0,3.0,5.0,3.0,4.0,6.0,5.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,6.0,2.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,1.0,5.0,4.0,6.0,3.0,1.0,4.0,5.0,5.0,2.0,4.0,5.0,6.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,6.0,3.0,2.0,1.0,1.0,3.0,4.0,5.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,6.0,1.0,6.0,1.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,6.0,5.0,1.0,5.0,3.0,2.0,6.0,6.0,6.0,4.0,3.0,3.0
9,5.0,5.0,6.0,4.0,4.0,2.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,6.0,4.0,4.0,1.0,4.0,3.0,2.0,1.0,6.0,4.0,5.0,6.0,2.0,3.0,5.0,5.0,1.0,6.0,5.0,2.0,1.0,4.0,3.0,4.0,2.0,5.0,1.0,4.0,4.0,4.0,3.0,6.0,3.0,3.0,6.0,2.0,6.0,1.0,5.0,5.0,3.0,4.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,6.0,3.0,3.0,2.0,1.0,2.0,6.0,2.0,6.0,4.0,4.0,4.0,6.0,2.0,5.0,4.0,6.0,2.0,4.0,1.0,5.0,6.0,2.0,1.0,3.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,4.0,2.0,6.0,1.0,3.0
10,3.0,2.0,4.0,3.0,1.0,3.0,4.0,3.0,2.0,5.0,2.0,3.0,6.0,4.0,1.0,6.0,3.0,1.0,1.0,3.0,6.0,1.0,6.0,6.0,5.0,3.0,2.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,1.0,6.0,4.0,4.0,5.0,6.0,4.0,3.0,1.0,1.0,5.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,5.0,5.0,6.0,2.0,6.0,1.0,6.0,2.0,6.0,5.0,1.0,5.0,6.0,3.0,1.0,4.0,6.0,4.0,6.0,5.0,1.0,3.0,1.0,5.0,1.0,5.0,6.0,1.0,1.0,3.0,6.0,6.0,6.0,2.0,2.0,4.0,1.0,5.0,5.0,4.0,6.0,2.0,6.0,1.0,1.0,6.0,1.0,6.0
