User ID,58a083cb9398ab56c2145c8b,5204dc44498e950b141a9704,4b767f0df964a520074f2ee3,549c026a498ebe84f48b496b,4c7944282d3ba143438f8dd0,4e5fd7b9b9934545b5d1ff77,52473e9d11d2eaae821ff8ca,53222eb6498eb3cd964310f3,4c8ceb74cf3ea143a748f951,5a9bec19065ef5259c8e1ded,5669ce2a498e50a3974785d8,4bf57f10706e20a1e58daa98,4bae7f37f964a52083b93be3,4c8d45600bcbbfb7a036e7fe,4bb0d186f964a520d15f3ce3,4e6b174c62e1cd1d54fe2727,56f02ca8498ed598b47f92d7,53c92ba1498e5a7d7acf9412,4b3c6ddff964a5206a8425e3,539d7bed498e1b0751e91f71,4c8cf5a3f0ce236a288a1cef,4ed773bab8f7e740d11b3950,4d6269bcd7206ea850b80af2,4adcda23f964a520533a21e3,4ce078f33644a093ad30589f,4b3b3a2ff964a5209b7125e3,4e6b3140aeb7c31e4362edbd,4dc55010ae608779d136e2d4,50f84023e4b0bd950d9c3490,4ecab0b177c8be492660eaa7,5616d900498eb55f39d64d3f,4e35221f63657eebff445e44,4f7810ade4b0c7b6e27b81ea,4bb0e79af964a520a3683ce3,4cc1859d668db60cb52614b4,57d3f1de498e0a640dc2fd3b,5041be64e4b0b9943e10f69c,4c41985bcc410f473a64ab61,4f74265fe4b0bb6ea1cd9a63,4c3ae7c7d94dc9b627e5fee7,4cb040831463a1431d419ba9,4e4a389d14951b66ae8b5527,536241cd498e5d456ec58030,4f6c530ae4b05c9c29ba4fab,50338beee4b05dcb2cf74588,51d50e30498e79475966c75d,51e27ce3498eb911463a69ea,540f0cf6498e0b95e1bbf557,4fd0f716e4b045ebd43d9ff0,52acb72f11d22ac7106f70cc,4b9cec54f964a520a38236e3,59c62cccb6eedb4ca4a9b671,4ddba28722719ef54b4d5a59,560a6c56498e2f64e4f9a0c7,4eae7e23cc21b06a5805c7fb,51f391c1498ea995274bd558,53332b50498e832a60ae5d9b,516930d1498e0e56fada89fb,58b5ad7b51d19e1540ede48e,525c143f11d2ab5b204d8183,51e6d83a498e8f02ecb86c06,4b24d319f964a520066a24e3,50b9fcd5e4b0b45a1b23c8fd,521ccd5111d247f22f5c61c5,53d14e55498e3d0172301774,51a8c521498e70e7ad685877,4dfc7cffd4c001cca36c8dc2,523c6ac511d222042f07acaa,4ed91668722e1da3009f79d8,4b83d5a8f964a520c11231e3,516038dde4b0db62049eec72,533bafad498e8451ff0d1740,51f0142d498e7090ef43f715,4bf6b2015efe2d7f57966734,51ee6179498eb936d2a8c5ac,512df686e4b0dc4fc3fc34a0,598c04e2d3cce8767a5a111b,5038c4ffe4b09fce66c5f2ec,50c77ebbe4b06cb3bb6cccae,4e6debd062e1ce64872648c5,52d7c8c9498e90a6f3a8b8e4,4e54103bd1641f4f818e942e,4d4406f83616b60c42d4dfc2,55c5d37d498e21968c6d28a6,55aa8819498e7472d33b869e,4d0b49cb5f86f04d41f1caa0,59bd21cbe1f2287933cd61cd,4e109c096284edb6bad002f7,4e204c9db61cdcf1ecb0b9dd,4c5971de2091a593b5d55cd0,4e58f58aae6099fc00c05419,51939870498e8351fef4ee33,4f46759ee4b0288c76029052,573c4be9498e18242d5d717c,596cc5ad3b4e003a5c0542e0,514ee28fe4b02f70e052f57c,5a5329e91108ba4e219b345d
1,1.0,1.0,5.0,4.0,2.0,1.0,4.0,2.0,2.0,6.0,1.0,5.0,5.0,4.0,5.0,1.0,2.0,6.0,5.0,4.0,4.0,6.0,5.0,3.0,2.0,6.0,3.0,5.0,5.0,2.0,1.0,4.0,3.0,4.0,1.0,6.0,2.0,5.0,2.0,4.0,6.0,5.0,1.0,6.0,5.0,3.0,5.0,2.0,3.0,5.0,3.0,5.0,4.0,2.0,5.0,1.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,1.0,5.0,6.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,6.0,4.0,3.0,1.0,5.0,4.0,4.0,6.0,1.0,3.0,1.0,3.0,1.0,6.0,4.0,1.0,4.0,3.0,6.0,6.0,4.0,1.0
2,6.0,3.0,1.0,5.0,1.0,6.0,5.0,6.0,6.0,3.0,1.0,5.0,3.0,6.0,5.0,3.0,6.0,4.0,3.0,1.0,4.0,6.0,4.0,2.0,4.0,2.0,4.0,6.0,5.0,2.0,4.0,1.0,1.0,5.0,2.0,5.0,5.0,6.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,1.0,5.0,6.0,2.0,6.0,3.0,4.0,3.0,1.0,5.0,4.0,2.0,2.0,5.0,2.0,3.0,4.0,4.0,5.0,2.0,4.0,3.0,6.0,5.0,6.0,5.0,3.0,1.0,2.0,2.0,2.0,5.0,3.0,4.0,6.0,4.0,6.0,5.0,6.0,4.0,2.0,3.0,1.0,4.0,1.0,6.0,6.0,1.0,5.0,2.0
3,5.0,2.0,6.0,6.0,1.0,3.0,1.0,4.0,2.0,2.0,4.0,6.0,1.0,6.0,5.0,2.0,2.0,5.0,2.0,6.0,4.0,1.0,5.0,1.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,6.0,5.0,2.0,2.0,6.0,3.0,6.0,3.0,6.0,6.0,3.0,2.0,3.0,4.0,2.0,4.0,1.0,4.0,5.0,5.0,1.0,3.0,3.0,5.0,1.0,6.0,2.0,3.0,6.0,2.0,3.0,6.0,5.0,3.0,6.0,4.0,4.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,4.0,5.0,3.0,2.0,3.0,1.0,6.0,4.0,5.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,6.0,2.0
4,3.0,2.0,6.0,4.0,6.0,2.0,5.0,3.0,2.0,4.0,2.0,2.0,4.0,5.0,3.0,5.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,6.0,1.0,3.0,4.0,2.0,2.0,6.0,6.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,6.0,1.0,4.0,1.0,3.0,4.0,5.0,6.0,2.0,1.0,6.0,6.0,5.0,6.0,4.0,1.0,6.0,5.0,1.0,1.0,4.0,3.0,2.0,2.0,5.0,5.0,3.0,2.0,1.0,3.0,4.0,3.0,2.0,4.0,1.0,4.0,3.0,4.0,6.0,2.0,2.0,4.0,3.0,5.0,3.0,4.0,5.0,6.0,1.0,5.0,6.0,2.0,1.0,3.0,3.0,2.0,5.0,2.0,3.0
5,4.0,6.0,6.0,2.0,5.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,2.0,4.0,1.0,1.0,6.0,3.0,6.0,4.0,6.0,5.0,6.0,1.0,3.0,3.0,2.0,1.0,6.0,2.0,1.0,6.0,1.0,5.0,3.0,6.0,5.0,5.0,3.0,6.0,3.0,3.0,4.0,3.0,2.0,5.0,4.0,2.0,1.0,1.0,3.0,5.0,2.0,6.0,5.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,1.0,5.0,1.0,4.0,4.0,4.0,5.0,4.0,1.0,6.0,1.0,4.0,3.0,3.0,5.0,6.0,4.0,6.0,2.0,6.0,2.0,3.0,2.0
6,4.0,3.0,3.0,1.0,4.0,5.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,6.0,2.0,6.0,6.0,1.0,5.0,4.0,3.0,2.0,4.0,6.0,6.0,5.0,4.0,1.0,6.0,4.0,5.0,3.0,2.0,6.0,4.0,6.0,6.0,2.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,3.0,2.0,3.0,5.0,6.0,1.0,6.0,6.0,6.0,4.0,5.0,2.0,3.0,5.0,1.0,4.0,1.0,1.0,4.0,5.0,2.0,3.0,3.0,5.0,6.0,5.0,3.0,2.0,6.0,3.0,6.0,4.0,2.0,4.0,2.0,2.0,5.0,4.0,1.0,2.0,1.0,4.0,2.0,6.0,2.0,5.0,6.0,3.0,3.0,1.0,5.0
7,4.0,5.0,6.0,4.0,3.0,2.0,2.0,4.0,3.0,5.0,5.0,2.0,5.0,3.0,5.0,6.0,3.0,1.0,1.0,4.0,3.0,2.0,4.0,4.0,6.0,4.0,1.0,6.0,1.0,3.0,4.0,3.0,5.0,2.0,5.0,3.0,6.0,3.0,3.0,2.0,2.0,1.0,2.0,6.0,4.0,5.0,2.0,6.0,2.0,5.0,6.0,2.0,4.0,4.0,6.0,5.0,1.0,6.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,1.0,3.0,2.0,3.0,6.0,2.0,6.0,1.0,6.0,4.0,6.0,4.0,4.0,6.0,1.0,2.0,5.0,1.0,6.0,6.0,1.0,6.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0
8,5.0,1.0,2.0,3.0,1.0,4.0,4.0,5.0,4.0,6.0,3.0,2.0,4.0,5.0,6.0,5.0,1.0,6.0,4.0,6.0,2.0,5.0,2.0,5.0,6.0,2.0,1.0,6.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,6.0,1.0,2.0,5.0,1.0,4.0,5.0,1.0,3.0,3.0,3.0,5.0,5.0,1.0,5.0,5.0,2.0,4.0,3.0,3.0,3.0,4.0,6.0,1.0,3.0,6.0,2.0,1.0,2.0,6.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,2.0,5.0,3.0,5.0,2.0,2.0,6.0,5.0,1.0,3.0,2.0,5.0,1.0,3.0,3.0
9,3.0,6.0,1.0,6.0,3.0,5.0,4.0,2.0,3.0,5.0,4.0,3.0,4.0,1.0,4.0,5.0,2.0,6.0,3.0,3.0,6.0,2.0,1.0,3.0,6.0,2.0,1.0,3.0,5.0,1.0,3.0,1.0,4.0,1.0,4.0,3.0,4.0,1.0,2.0,2.0,5.0,5.0,4.0,4.0,5.0,1.0,5.0,6.0,2.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,6.0,6.0,1.0,2.0,5.0,1.0,1.0,2.0,3.0,2.0,4.0,6.0,3.0,1.0,1.0,4.0,2.0,1.0,4.0,6.0,5.0,1.0,6.0,5.0,2.0,4.0,6.0,6.0,2.0,3.0,5.0,6.0,6.0,4.0,5.0,5.0,6.0,3.0,3.0
10,2.0,2.0,3.0,6.0,5.0,2.0,1.0,6.0,4.0,5.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,5.0,1.0,3.0,4.0,2.0,1.0,2.0,5.0,6.0,1.0,5.0,5.0,1.0,5.0,6.0,4.0,2.0,5.0,4.0,1.0,2.0,4.0,3.0,3.0,6.0,5.0,3.0,2.0,5.0,3.0,5.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,6.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,5.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,6.0,5.0,1.0,1.0,1.0,3.0,6.0,1.0,4.0,6.0,3.0,1.0,1.0
