User ID,4e37baba18a8470916cd6e6c,4eec2761aa1f98ce6443e420,532456d811d24934ecf88226,55af014d498e560b44e766a7,4fd36f2ee4b0191b9be98360,5277440811d2899249f2deb0,4f374349e4b0fb0dfcc77705,4d947c3f5241a1cd4320604b,5373c749498e70649e205d0b,4d6f214e3a6cf04dd5fd5b79,4d2c0b59888af04d2914e5af,4eabf4c39a522a65af5c4037,4f378454e4b0653d4aceb840,4b058810f964a52040af22e3,563b008fcd105c11017f9d38,4c38315b2c8020a16a748a00,4fae19634fc67afa8cf61203,4c1c63c8fcf8c9b6cd17aa0b,5317e8d1498e1c8bb76b6ddf,543b7f56498ead5eaf2e34d4,4f897c07e4b056350f7495ed,56e39755498e556c8862967e,598a7c758c812a1ece558e95,4cf605e02f0159412e8659a2,5947a414a0215b689b4d3b4f,4d8a9e7f76e1236af1f71e43,4d880c587d4c548130f03871,51a80bbc498ea16e72d264bd,4cbbf5b6bac937041347f57c,4f990aa1e4b0065e73c6fcb1,4d8d611e788c548175d220fd,4eb7a7f88b81a81f91794f65,564b97dd498e05f4ca956cbb,4ea3ddad6da1455cacf4ffa4,4d9f9704a77d816e33550609,4d8c06ac96b9b60c16bc1278,4db38b4f4b226b343d7beccc,528dc8d5498ea48899f38253,4e913c8961afcfde2a2feac7,53e721ea498ed3877e54a6e7,50444a1fe4b0741ad292ba88,4f16d199e4b0044a288c82dc,4c3020f1452620a1c3ca1e0f,4e913c00722ebb868c045a8b,4c44ecc4429a0f478879491e,4d0f11436331a093e1fd4e94,4f6304f2e4b05c1d57f8caa4,4f49e858e4b0ef28474dd02e,4ec36df7b8f7c5f293da431e,4d0b0181f2c1236afc58ff56,54cf29f4498e39b592689b8a,4f6f3062e4b0ad1af61bbd3d,4dd1d5bee4cd7f7178bc863f,4dd74fec1838b8561ce47839,4cda7bb8930af04d97fd8497,4e7d6332f5b9644b44154714,4d0f7006d21db60cd0202418,4d28abafb818a35deb79978a,4ec5c847722eeaa24c168357,4bf4cd7ce5eba593971e2090,4f7977a7e4b0ca8cfecaf6e7,5037d194e4b0282c9e8307b8,4de0cfaed22d2a79557734f9,4f1cf78fe4b0f271e839cd9f,585397efbf1a6d72278e75be,5617b2fe498e673d37e2d4a0,50964d54e4b075af19cdaa07,50961d04e4b08bdee03845b3,50961c20e4b0578aaf2d35f5,5097addce4b0f7ee4cc3c3d2,50979c2ae4b053f9fcf6d7d7,509543f8e4b07ba8c6377a2c,509541ede4b055b34ca22a3b,525f4635498e6f0b3c1d7fb3,587b30cfe309e107704d64d9,518e440b498e0ea5e1f7824d,5739df68498e8763680083cf,5ad6e8afc66666447f0a3abe,502cbc79e4b0bde7251edc91,5914804be075500e96a58b2f,591ae6e212c8f026800bfaee,5a489eac0a08ab1e8a61feca,5aa3703a1acf110b0a03d2ba,5a489e0912f0a962476b871c,58feeef33fcee826b9963051,4fcf0c4ae4b0ce2b62938230,596ce43df427de158fa99cbc,50baa87ae4b0465629f9c115,5845556d0593e151a0fbeb35,4cf0b25ce9425481e9f365c5,4fca5485e4b053b8ae59add8,54dada1e498ef1d98f85a596,557e669b498e3a9a119246bf,4d0e28a33905b1f7b3419e4b,4d91455b608fa1cd087d9583,4e0dfa7945ddc2c6d172e825,590d9434ea1e4476bf718da4
1,1.0,3.0,4.0,2.0,6.0,5.0,6.0,3.0,1.0,3.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,6.0,5.0,3.0,1.0,5.0,6.0,4.0,6.0,6.0,6.0,2.0,3.0,1.0,2.0,6.0,4.0,1.0,4.0,4.0,1.0,5.0,5.0,1.0,5.0,6.0,6.0,4.0,5.0,6.0,3.0,1.0,5.0,2.0,3.0,1.0,5.0,5.0,3.0,6.0,6.0,4.0,5.0,3.0,1.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,6.0,3.0,3.0,1.0,4.0,2.0,5.0,3.0,4.0,3.0,1.0,3.0,4.0,1.0,6.0,2.0,3.0,5.0,5.0,2.0,4.0,3.0,6.0,2.0,3.0,6.0,6.0,1.0
2,4.0,4.0,6.0,1.0,1.0,4.0,5.0,5.0,3.0,6.0,5.0,6.0,4.0,2.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,6.0,2.0,5.0,4.0,1.0,4.0,4.0,3.0,6.0,3.0,6.0,1.0,1.0,4.0,6.0,1.0,2.0,6.0,4.0,4.0,4.0,5.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,4.0,3.0,2.0,6.0,5.0,6.0,5.0,5.0,4.0,1.0,3.0,5.0,4.0,1.0,6.0,1.0,5.0,3.0,1.0,3.0,1.0,4.0,6.0,5.0,6.0,4.0,2.0,6.0,3.0,3.0,2.0,1.0,2.0,6.0,2.0,5.0,6.0,2.0,5.0,3.0,5.0,4.0,1.0,5.0,6.0,1.0,2.0
3,6.0,5.0,1.0,3.0,4.0,5.0,4.0,1.0,3.0,4.0,3.0,4.0,5.0,2.0,5.0,6.0,2.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,1.0,2.0,2.0,6.0,3.0,3.0,6.0,5.0,5.0,6.0,6.0,6.0,4.0,4.0,2.0,5.0,6.0,6.0,6.0,2.0,1.0,4.0,5.0,4.0,6.0,6.0,5.0,3.0,4.0,5.0,6.0,3.0,2.0,2.0,6.0,6.0,6.0,1.0,5.0,6.0,1.0,1.0,5.0,2.0,4.0,1.0,3.0,1.0,6.0,6.0,1.0,3.0,5.0,5.0,6.0,1.0,1.0,5.0,5.0,3.0,6.0,6.0,6.0,1.0,3.0,6.0,5.0,6.0,3.0,3.0,5.0,6.0,6.0
4,5.0,5.0,4.0,6.0,4.0,1.0,1.0,1.0,2.0,4.0,3.0,5.0,3.0,3.0,2.0,2.0,4.0,1.0,5.0,6.0,3.0,4.0,5.0,5.0,6.0,1.0,1.0,3.0,3.0,4.0,2.0,5.0,3.0,1.0,1.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0,5.0,3.0,6.0,4.0,6.0,4.0,4.0,2.0,4.0,1.0,6.0,4.0,5.0,1.0,3.0,1.0,4.0,2.0,2.0,3.0,4.0,1.0,5.0,2.0,6.0,4.0,4.0,3.0,6.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0,5.0,3.0,3.0,1.0,5.0,3.0
5,5.0,6.0,3.0,1.0,3.0,3.0,1.0,2.0,5.0,4.0,2.0,3.0,6.0,3.0,1.0,5.0,4.0,1.0,4.0,6.0,3.0,6.0,4.0,3.0,4.0,5.0,1.0,4.0,2.0,4.0,6.0,2.0,6.0,2.0,2.0,3.0,1.0,1.0,6.0,1.0,3.0,1.0,5.0,2.0,1.0,4.0,5.0,1.0,1.0,4.0,6.0,6.0,1.0,2.0,3.0,2.0,6.0,2.0,6.0,2.0,6.0,5.0,5.0,1.0,3.0,1.0,2.0,6.0,3.0,4.0,5.0,3.0,2.0,2.0,3.0,6.0,2.0,2.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,2.0,4.0,5.0,2.0,2.0,6.0,1.0,2.0,3.0,6.0,3.0,1.0
6,5.0,5.0,2.0,2.0,4.0,1.0,5.0,6.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,6.0,3.0,4.0,1.0,1.0,3.0,4.0,1.0,3.0,6.0,3.0,4.0,6.0,6.0,6.0,1.0,6.0,3.0,4.0,5.0,6.0,6.0,3.0,6.0,5.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,5.0,5.0,2.0,6.0,2.0,1.0,3.0,4.0,4.0,2.0,6.0,6.0,6.0,5.0,6.0,3.0,6.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,2.0,3.0,1.0,3.0,5.0,2.0,2.0,6.0,1.0,6.0,1.0,5.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0
7,2.0,6.0,3.0,4.0,4.0,6.0,4.0,4.0,4.0,5.0,3.0,3.0,6.0,4.0,5.0,5.0,6.0,6.0,2.0,3.0,6.0,1.0,6.0,4.0,5.0,1.0,3.0,1.0,2.0,4.0,6.0,4.0,6.0,6.0,6.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,6.0,4.0,6.0,5.0,4.0,2.0,3.0,1.0,2.0,6.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,1.0,6.0,5.0,2.0,6.0,1.0,6.0,4.0,5.0,4.0,3.0,5.0,6.0,4.0,4.0,2.0,2.0,4.0,3.0,6.0,1.0,6.0,6.0,2.0,3.0,1.0,4.0,2.0,5.0,3.0,6.0,1.0,2.0,4.0
8,4.0,4.0,3.0,5.0,1.0,6.0,3.0,5.0,5.0,1.0,2.0,1.0,3.0,1.0,6.0,2.0,6.0,4.0,3.0,5.0,1.0,4.0,2.0,6.0,1.0,3.0,3.0,6.0,1.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,6.0,5.0,4.0,1.0,6.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,3.0,4.0,3.0,6.0,4.0,4.0,5.0,1.0,5.0,2.0,5.0,3.0,6.0,6.0,5.0,4.0,6.0,4.0,6.0,5.0,6.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,4.0,5.0,2.0,2.0,2.0,5.0,3.0,4.0,5.0,4.0,5.0,6.0,4.0
9,6.0,4.0,4.0,1.0,6.0,2.0,3.0,3.0,1.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,1.0,1.0,6.0,4.0,4.0,3.0,1.0,4.0,6.0,6.0,2.0,5.0,5.0,4.0,5.0,3.0,6.0,6.0,6.0,1.0,5.0,4.0,6.0,3.0,6.0,3.0,3.0,2.0,3.0,6.0,5.0,4.0,5.0,4.0,1.0,3.0,3.0,1.0,1.0,5.0,4.0,6.0,1.0,3.0,2.0,4.0,2.0,6.0,6.0,4.0,6.0,3.0,5.0,3.0,4.0,5.0,2.0,3.0,5.0,1.0,5.0,6.0,1.0,3.0,2.0,5.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,6.0,3.0,2.0,5.0,6.0,5.0
10,1.0,3.0,3.0,4.0,6.0,2.0,3.0,5.0,4.0,5.0,2.0,6.0,1.0,6.0,1.0,3.0,4.0,2.0,1.0,1.0,5.0,3.0,4.0,2.0,5.0,6.0,3.0,1.0,3.0,3.0,5.0,1.0,1.0,2.0,2.0,5.0,4.0,5.0,1.0,6.0,5.0,2.0,1.0,5.0,5.0,1.0,5.0,5.0,6.0,4.0,1.0,1.0,5.0,6.0,3.0,1.0,6.0,3.0,5.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,4.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0,6.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,1.0,5.0,5.0,1.0,4.0,6.0,4.0,1.0,4.0,2.0,4.0,3.0
