User ID,55322cf7498e0bb386e07f9a,513c9855e4b0923345d8bf08,4fddda19e4b0e07803714692,59038f27a2a6ce23bb2e1957,5576c8e3498ea8f0c95f6b4c,4fcf3abee4b0aebeec3d8cbf,56518413498e375eaf7b5f5b,511e4f43e4b08cdb378186a7,51cf4023498eb2bc96a015c4,58cedd16ef46946d749c6775,55bd6b3a498ee52e3ba5b87a,53a415af498e7989b0a488d4,59a2904235f98327be6a920f,4fcf3050e4b05b1fd4aa3a27,55e03929498e5edc86ccf432,5718f148498e486c41a1e4ee,53b96568498ef6049ff709e5,59a674dc8c35dc5662a05f19,59b0182c65cdf82b4ad06890,4ea803590aaf6e058641b9d5,4d96e3abc19fb60c4fe28865,507bfbe0e4b036360c9c5c07,5731d44c498eae73eb7ca23e,4f404017e4b0193961cd24d5,4f5e96cae4b0949d41010678,4f3a5967e4b06ff102f2cb0d,53638dd2498e9a7babcf074f,51766ec7e4b042fa17453c5d,5025178ae4b061fce7594bcc,5166a7d8e4b07ed52dafa146,50251801e4b0c6da2643c9d2,50328153e4b06a779fa3adae,4e4fd0ee62e14b77e3a0e9f9,4edcae3d8231efe39212103b,4f043cf7775b9e560e56c7d4,5183fdcf7dd23e226fcf56dd,50649467e4b0e9d02e8feec8,5232e06d11d2031aad1d2b36,4dc3c01ee4cd169dc6211327,50bb43d3e4b048d446571a5f,4ddcb9ec1850ebc228e8a0cf,58b57dbeac329115d2bd48af,4fa44358e4b0cbe2df2579ed,4e2d654c15205c865b73ba4f,4e48467ce4cd9d94fb3ae3f6,57e1172b498ec840d8e97102,512a08e7e4b096ae4ef2609f,51a222792fc6a874f789827d,53ecad02498eef14e3f54604,57360eef498e0a478abb955c,58b1d910c0c89b4f3278b07f,58a826c6076be13f60a14406,4f7485a2e4b0ab29087b8961,51069b4de4b08881fbe93edb,52170596498ea6c08493d94d,52124ac3498e2f55039971cd,53d90f46498e74a50d6caa2f,4f940702e4b06ce858b7d46c,4f017ddfa69d45461f14dd86,507ef2bce4b0105cdaf944bc,5127ae8ce4b0c6f31d869617,567a84cd498ed7f2e0ce6bf9,5808d256d67c575388f678ea,50fda6d8e4b01725c776047f,51fd3cbf498ef63df3c99e39,4e7ec2ce0aaf8a29ee30d523,4e36c5658877beb5e9b9156f,561ffbaa498e940a1c1d0fc0,51f52db3498e2c7bad85ce2c,533592ab498e8f4b7bc87dbb,50047fc6e4b0ebdd740e8a3d,517252d1e4b09adb62b0071e,536656bb11d225cf27151392,50be42d9e4b027c60c1994dd,50bfa737e4b06aca379a9fa6,5219ee0f11d2b33a4056a2e7,59631f9203132020d4ffe69f,5814383238fae2e5a139d11f,5388afb0498e5c4efdec96f6,4fcdb6c2e4b084c4a2e7200a,51f17ce5498ea76ebcbb14fe,542f8f74498e8e357f4155e1,55bfc26f498e494908a7ec06,55bfc1db498e0546f0ff3907,533d6d13498eb61bf73ae334,53739d7f498e96210e7f027f,4ed15726775bbb5f3408e137,5730e696498e447f0e72c784,5077f067e4b07018b56e9084,53f0eff4498efa32861d5b4b,56fae4d0498e0e83ebff32f3,567055b5498ee825c670bf16,5128d57ce4b0466f4e2b71d4,4fcf4a2ee4b02b4665a212ef,55cbb87d498ef0cc21bae7f6,526973d211d25acd09cd63db,4d7a9e0992baa143556d57eb,50c0792be4b08c1f6408b992,4f55020ce4b040bb62ca1905,5247219011d2eaae803e9c93,57b4203ecd1053db859cc9d7,53d189a0498e0e229a3d9cf9,519a386c498eaf43ffce6856,5052555fe4b0c32d8ccedd44,523c4992498eb802a9debff8,4db418864df05e5aaad894c0,4eb3e9eb4901cef9d7da0a77,54e86d5c498ef1f7fa09109b,51f4d9b1498e264eaaa0076d,57a03c44498e6f81b03bfeaf,5423dbf5498e41d57364d64f,55919d59498ee584c786a153,4fc8c51ae4b0efc1d567c564,518fbdd6498e36d15e5906b2,54226e59498ea688da3a84e1,54026f75498ed36cb8da24c7,56dc589d498e746054b81b95,574caf6b498ed088f20c14bc,53be2b3f498e5b414d9f9920,4cbf1dfa7dc9a093ecf636f5,543b2039498ea4de497d68dc,5575158b498e07f4797bca04,54e86213498eb28153dd210e,57893cde498ed21e60f1bad4,4e0ed18c18a8bf9784d123d7,53e5b45d498ef480995263b6,520b3e5211d2de6694b2e91d,55ba9000498ed3ee9789355b,51742ba3498e2885eb0fef0b,53e1d209498ed727dc905716,5205f28311d25caf3cf934c9,574dc549498e8781e5cd8e3b,568aabde498e433efd1dc1fb,507f1834e4b0f454e7435777,55a206ec498eadf4a5614d86,5701154d498ef12901c45732,514f0134e4b08a4f684d3c11,5753c5cd498eef496dfce117,5949204ada7080645000a1be,55eb678d498ee06682b273c8,5813829738fa6e365cdca932,55bdb243498e244a3c88b711,4debdd76fa76cc1b8b0a615d,53ef1255498e92f15f1d7280,51ebb3f0498ed99e6abaf5b0,50e8130de4b0a5a06bdcc800,50e08493e4b0fe6439bb0a48,4df25869e4cda09e6d9ede98,53a1f265498e995d663d5e29,556ebb78498e00921838d612,5651c052498e36174be6b45a,57960ff0498e76623a35e291,53287eda498e4fe53b583a53,5082e13fe4b01342493575c2,51ba05c3498e986f35bfb44a,5072e973e4b0ddd46a779c72,5075bb5be4b01aa3b9483c80,4d8ce74cfa9437048ca7dbc5,59d0f88c829b0c2fa38e8200,53733ccf498e97d2db288921,50cb075ee4b01c69d9da03aa,50be30b2e4b08bfe1b87f26d,5066c57fe4b0c7c05178401c,5714e375498e435e856d9f5c,51bc7483498e99faa5c6ef50,55547a34498e80761f83ce9e,54ce5d5a498e99dacf7e9d4e,5350e5d0498e485b949c5f26,515028efe4b040403b1e8818,4e354846e4cd9aba7cc2a816,507aa873e4b05ac93db4f2b4,5930839ba4b51b08122ead8a,56b5c920498e5b273ce68872,4fc8e20ce4b068036968ab80,57321d78498eae73ec0eb021,5a478446464d656fed9cbe1e,51cf0b65498e410e2e71d295,5350e45b498ebca706b734ea,570a4f40498e59c72095e3f1,507ab6b5e4b0747405ac4194,5234b84e11d2622246421452,51cca2bd498ec7792e020ca5,56cdc1d8cd1092fee84f34f9,53a45053498e070ad505d088,56218963498ecd5d312906ab,4e184e7d15202ba040b5bc4a,57d8014a498e74b5fd891d78,529a498711d2b1deff86d42c,51c5a99c498edcb7e95ac4aa,5210dc2d11d22017f92f674b,4f92dc48e4b0e29f547479d1,4c4c1928bad7a593abd0c3ac,56360d7d498ef882f4d5b479,53fa1071498ef2ad1a975259,523037b811d2690d54ef0fc9,503522a1e4b094418c6c9094,54a2d94e498e520a4e95a8c7,50c1fc8ce4b0fd9800a5445d,5141f696e4b0f578ea760c49,561a497b498eb6bec3b4ae6a,52dfc9c5498ec0fba70ea8a9,5448b990498ec638a8a827ff,54957a29498e505982e4b550
1,1.0,2.0,2.0,6.0,6.0,6.0,6.0,2.0,3.0,5.0,3.0,2.0,1.0,3.0,6.0,2.0,3.0,6.0,5.0,1.0,3.0,1.0,2.0,1.0,3.0,5.0,5.0,1.0,4.0,6.0,4.0,4.0,4.0,3.0,3.0,5.0,6.0,5.0,2.0,5.0,6.0,3.0,1.0,1.0,1.0,3.0,6.0,3.0,6.0,2.0,6.0,5.0,1.0,5.0,1.0,6.0,3.0,1.0,2.0,2.0,1.0,6.0,1.0,4.0,3.0,6.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,2.0,6.0,3.0,1.0,2.0,4.0,5.0,4.0,6.0,1.0,5.0,2.0,2.0,3.0,5.0,4.0,4.0,1.0,1.0,3.0,5.0,4.0,1.0,3.0,5.0,1.0,1.0,6.0,4.0,4.0,4.0,4.0,3.0,5.0,1.0,4.0,1.0,1.0,6.0,4.0,1.0,2.0,6.0,6.0,4.0,4.0,2.0,6.0,4.0,5.0,4.0,6.0,3.0,2.0,4.0,4.0,1.0,5.0,4.0,1.0,1.0,2.0,6.0,2.0,5.0,5.0,1.0,1.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,5.0,6.0,1.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,1.0,2.0,4.0,5.0,4.0,5.0,2.0,2.0,3.0,4.0,3.0,5.0,2.0,5.0,3.0,3.0,1.0,4.0,6.0,4.0,6.0,2.0,2.0,6.0,1.0,4.0,3.0,1.0,3.0,1.0
2,2.0,3.0,5.0,6.0,5.0,5.0,6.0,5.0,1.0,1.0,6.0,5.0,3.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,2.0,4.0,3.0,6.0,5.0,6.0,1.0,4.0,3.0,2.0,4.0,4.0,6.0,3.0,4.0,5.0,2.0,1.0,6.0,5.0,3.0,2.0,3.0,4.0,6.0,6.0,6.0,2.0,6.0,4.0,6.0,5.0,5.0,1.0,6.0,6.0,2.0,4.0,5.0,6.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,6.0,1.0,4.0,6.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,6.0,1.0,2.0,1.0,2.0,5.0,4.0,4.0,1.0,4.0,5.0,2.0,3.0,3.0,5.0,2.0,4.0,6.0,6.0,4.0,5.0,1.0,5.0,1.0,2.0,5.0,5.0,6.0,3.0,4.0,3.0,6.0,4.0,6.0,4.0,1.0,5.0,5.0,1.0,2.0,2.0,4.0,2.0,6.0,1.0,6.0,5.0,5.0,5.0,5.0,6.0,1.0,1.0,1.0,2.0,6.0,5.0,2.0,3.0,1.0,5.0,2.0,3.0,2.0,4.0,2.0,3.0,6.0,1.0,1.0,5.0,2.0,1.0,1.0,5.0,2.0,6.0,4.0,1.0,1.0,1.0,5.0,2.0,4.0,5.0,6.0,4.0,6.0,1.0,6.0,3.0,5.0,1.0,5.0,2.0,4.0,4.0,3.0,4.0,2.0,6.0,3.0,2.0,3.0,5.0,1.0,5.0,2.0,1.0,1.0,6.0,4.0,2.0,2.0,4.0
3,6.0,4.0,6.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,2.0,2.0,6.0,5.0,4.0,1.0,5.0,3.0,1.0,4.0,6.0,1.0,1.0,6.0,2.0,3.0,6.0,3.0,5.0,4.0,6.0,2.0,6.0,1.0,2.0,1.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0,5.0,3.0,5.0,3.0,4.0,3.0,5.0,2.0,3.0,6.0,4.0,3.0,2.0,4.0,6.0,1.0,4.0,6.0,1.0,5.0,3.0,6.0,6.0,3.0,6.0,4.0,2.0,4.0,5.0,3.0,4.0,2.0,5.0,1.0,5.0,3.0,5.0,2.0,1.0,1.0,6.0,5.0,4.0,3.0,1.0,5.0,5.0,3.0,5.0,6.0,3.0,4.0,2.0,6.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,5.0,2.0,2.0,4.0,5.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,5.0,3.0,4.0,4.0,1.0,6.0,2.0,3.0,3.0,4.0,3.0,6.0,2.0,2.0,6.0,4.0,6.0,6.0,6.0,1.0,1.0,1.0,4.0,6.0,2.0,3.0,3.0,1.0,3.0,4.0,3.0,2.0,4.0,6.0,5.0,4.0,6.0,6.0,2.0,3.0,3.0,5.0,5.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,6.0,6.0,5.0,3.0,3.0,3.0,2.0,2.0,5.0,3.0,4.0,1.0,1.0,2.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0
4,4.0,4.0,1.0,3.0,5.0,5.0,1.0,5.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,6.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,6.0,2.0,1.0,4.0,6.0,2.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,6.0,5.0,5.0,3.0,3.0,1.0,6.0,1.0,6.0,5.0,5.0,5.0,1.0,4.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,6.0,4.0,3.0,1.0,2.0,5.0,5.0,1.0,5.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,6.0,3.0,5.0,4.0,4.0,6.0,5.0,6.0,3.0,3.0,4.0,4.0,1.0,4.0,1.0,6.0,2.0,3.0,1.0,5.0,4.0,4.0,6.0,5.0,1.0,2.0,2.0,5.0,2.0,1.0,6.0,1.0,3.0,4.0,3.0,3.0,2.0,6.0,3.0,6.0,2.0,5.0,2.0,6.0,2.0,6.0,5.0,5.0,4.0,1.0,2.0,4.0,2.0,1.0,6.0,6.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,1.0,6.0,2.0,6.0,3.0,3.0,2.0,4.0,4.0,1.0,6.0,4.0,6.0,5.0,6.0,1.0,3.0,3.0,2.0,3.0,6.0,4.0,4.0,6.0,1.0,4.0,2.0,3.0,6.0,6.0,3.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,6.0,4.0,5.0,6.0,4.0,2.0,5.0,4.0,6.0,4.0,5.0,3.0,4.0,6.0,2.0,1.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0
5,5.0,2.0,1.0,5.0,3.0,4.0,5.0,6.0,4.0,3.0,1.0,6.0,3.0,5.0,6.0,4.0,4.0,3.0,4.0,4.0,6.0,1.0,4.0,4.0,5.0,3.0,1.0,1.0,3.0,3.0,5.0,3.0,5.0,6.0,2.0,1.0,4.0,6.0,2.0,2.0,3.0,2.0,6.0,4.0,6.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,6.0,3.0,6.0,2.0,3.0,6.0,6.0,1.0,3.0,6.0,2.0,3.0,6.0,3.0,5.0,3.0,2.0,5.0,2.0,2.0,1.0,5.0,6.0,1.0,5.0,3.0,6.0,4.0,5.0,3.0,5.0,1.0,1.0,6.0,1.0,6.0,1.0,2.0,6.0,4.0,3.0,2.0,6.0,2.0,1.0,1.0,5.0,4.0,6.0,4.0,3.0,4.0,1.0,6.0,1.0,4.0,3.0,4.0,2.0,4.0,1.0,6.0,5.0,5.0,6.0,5.0,6.0,3.0,6.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,6.0,5.0,6.0,1.0,2.0,3.0,4.0,6.0,1.0,5.0,5.0,6.0,5.0,6.0,2.0,5.0,2.0,3.0,6.0,2.0,6.0,5.0,4.0,3.0,1.0,3.0,6.0,2.0,1.0,4.0,4.0,1.0,5.0,6.0,3.0,2.0,6.0,2.0,1.0,2.0,4.0,1.0,3.0,5.0,4.0,5.0,1.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,6.0,6.0,5.0,4.0,1.0,4.0,6.0,2.0,1.0,5.0,1.0,4.0,3.0,3.0,6.0,2.0,4.0,2.0,3.0,6.0
6,2.0,5.0,6.0,3.0,5.0,4.0,2.0,4.0,6.0,1.0,2.0,6.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,6.0,6.0,3.0,5.0,5.0,1.0,1.0,2.0,6.0,5.0,1.0,4.0,4.0,6.0,3.0,6.0,5.0,3.0,3.0,2.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,2.0,6.0,4.0,5.0,6.0,1.0,2.0,3.0,2.0,5.0,4.0,6.0,2.0,3.0,3.0,5.0,3.0,4.0,5.0,6.0,1.0,6.0,6.0,5.0,5.0,5.0,3.0,4.0,6.0,6.0,1.0,1.0,4.0,6.0,4.0,5.0,4.0,4.0,3.0,1.0,5.0,3.0,3.0,3.0,5.0,6.0,1.0,4.0,1.0,5.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,5.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,5.0,6.0,4.0,2.0,2.0,4.0,6.0,2.0,6.0,2.0,1.0,5.0,6.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,5.0,1.0,6.0,6.0,2.0,1.0,4.0,3.0,4.0,3.0,5.0,2.0,5.0,2.0,6.0,1.0,1.0,3.0,2.0,5.0,5.0,1.0,4.0,1.0,3.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,6.0,3.0,5.0,4.0,1.0,4.0,2.0,3.0,4.0,2.0,1.0,5.0,1.0,4.0,5.0,4.0,2.0,5.0,6.0,5.0,2.0,3.0,2.0,5.0,1.0,2.0,3.0,4.0,4.0,2.0
7,2.0,1.0,5.0,6.0,1.0,6.0,3.0,5.0,1.0,2.0,1.0,4.0,5.0,5.0,6.0,5.0,2.0,6.0,6.0,3.0,5.0,3.0,2.0,1.0,5.0,6.0,5.0,5.0,5.0,2.0,5.0,6.0,3.0,5.0,2.0,6.0,4.0,4.0,4.0,6.0,6.0,3.0,4.0,4.0,4.0,5.0,1.0,5.0,4.0,6.0,5.0,4.0,4.0,2.0,5.0,6.0,5.0,5.0,2.0,1.0,2.0,5.0,1.0,3.0,3.0,1.0,6.0,5.0,2.0,5.0,4.0,3.0,4.0,6.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,1.0,4.0,4.0,5.0,1.0,2.0,1.0,5.0,6.0,4.0,5.0,3.0,5.0,2.0,5.0,3.0,6.0,3.0,6.0,2.0,6.0,6.0,5.0,3.0,6.0,1.0,6.0,6.0,3.0,2.0,1.0,1.0,5.0,4.0,1.0,3.0,5.0,6.0,1.0,5.0,2.0,3.0,4.0,6.0,5.0,6.0,5.0,2.0,3.0,2.0,5.0,5.0,6.0,3.0,3.0,4.0,6.0,4.0,5.0,3.0,1.0,5.0,5.0,1.0,4.0,5.0,2.0,6.0,1.0,6.0,6.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,2.0,1.0,3.0,6.0,1.0,6.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,4.0,2.0,4.0,5.0,6.0,2.0,2.0,6.0,3.0,4.0,4.0,3.0,6.0,2.0,3.0,5.0,6.0,1.0,1.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0
8,2.0,4.0,5.0,6.0,5.0,5.0,2.0,4.0,4.0,6.0,2.0,4.0,2.0,3.0,5.0,5.0,5.0,2.0,4.0,5.0,2.0,2.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,6.0,5.0,4.0,5.0,3.0,6.0,6.0,6.0,6.0,6.0,3.0,5.0,1.0,1.0,1.0,2.0,5.0,3.0,5.0,5.0,2.0,4.0,6.0,1.0,4.0,2.0,5.0,6.0,6.0,4.0,6.0,6.0,3.0,2.0,4.0,4.0,4.0,1.0,6.0,6.0,6.0,2.0,4.0,5.0,2.0,1.0,1.0,3.0,6.0,2.0,1.0,1.0,5.0,1.0,5.0,3.0,5.0,6.0,3.0,3.0,6.0,2.0,3.0,2.0,3.0,6.0,1.0,5.0,1.0,6.0,1.0,4.0,6.0,2.0,6.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,1.0,6.0,6.0,5.0,1.0,4.0,5.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,4.0,6.0,3.0,6.0,4.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0,4.0,1.0,3.0,6.0,1.0,3.0,5.0,3.0,6.0,4.0,5.0,3.0,1.0,5.0,2.0,6.0,3.0,4.0,6.0,2.0,5.0,4.0,2.0,2.0,4.0,3.0,1.0,5.0,4.0,1.0,6.0,5.0,2.0,6.0,5.0,2.0,6.0,1.0,3.0,5.0,4.0,2.0,2.0,5.0,3.0,5.0,4.0,6.0,1.0,2.0,4.0,5.0,5.0,6.0,1.0,1.0,4.0,6.0,2.0,2.0,5.0,1.0,5.0,6.0,5.0,3.0
9,5.0,1.0,4.0,6.0,3.0,5.0,4.0,6.0,1.0,4.0,4.0,4.0,3.0,6.0,2.0,4.0,5.0,6.0,3.0,6.0,5.0,6.0,3.0,3.0,4.0,4.0,4.0,1.0,6.0,4.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,2.0,5.0,6.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,6.0,1.0,5.0,4.0,1.0,3.0,3.0,1.0,5.0,6.0,4.0,6.0,1.0,1.0,3.0,2.0,3.0,5.0,2.0,3.0,2.0,1.0,6.0,5.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,6.0,1.0,5.0,6.0,1.0,5.0,5.0,3.0,4.0,6.0,3.0,3.0,1.0,6.0,5.0,4.0,3.0,4.0,2.0,2.0,6.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,1.0,6.0,5.0,4.0,2.0,3.0,5.0,5.0,4.0,1.0,3.0,6.0,5.0,2.0,3.0,1.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,6.0,5.0,3.0,6.0,5.0,2.0,2.0,6.0,1.0,4.0,5.0,5.0,5.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,6.0,1.0,2.0,2.0,4.0,1.0,1.0,5.0,1.0,1.0,6.0,5.0,6.0,5.0,4.0,6.0,3.0,3.0,2.0,5.0,2.0,3.0,5.0,1.0,5.0,2.0,6.0,4.0,6.0,3.0,4.0,1.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,5.0,2.0,3.0,6.0,2.0,3.0,4.0,1.0,5.0,6.0
10,6.0,5.0,6.0,6.0,4.0,4.0,2.0,5.0,2.0,4.0,3.0,6.0,4.0,6.0,4.0,6.0,4.0,3.0,3.0,6.0,2.0,2.0,4.0,6.0,3.0,1.0,3.0,2.0,3.0,2.0,5.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,2.0,1.0,4.0,1.0,6.0,4.0,3.0,6.0,2.0,2.0,5.0,4.0,6.0,5.0,1.0,4.0,4.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,1.0,1.0,2.0,4.0,1.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,6.0,3.0,6.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,6.0,2.0,6.0,1.0,5.0,3.0,6.0,6.0,2.0,4.0,3.0,6.0,6.0,3.0,3.0,6.0,4.0,1.0,6.0,4.0,2.0,1.0,2.0,6.0,5.0,4.0,6.0,1.0,4.0,1.0,5.0,5.0,1.0,6.0,3.0,2.0,5.0,5.0,3.0,6.0,4.0,3.0,4.0,1.0,2.0,4.0,3.0,4.0,3.0,6.0,2.0,3.0,5.0,4.0,1.0,1.0,4.0,5.0,3.0,2.0,3.0,1.0,6.0,1.0,3.0,2.0,2.0,6.0,5.0,3.0,3.0,6.0,4.0,1.0,4.0,5.0,4.0,6.0,4.0,3.0,6.0,3.0,2.0,4.0,2.0,3.0,4.0,5.0,2.0,6.0,1.0,4.0,6.0,2.0,5.0,3.0,4.0,1.0,3.0,4.0,4.0,1.0,6.0,1.0,4.0
