User ID,50d30aafe4b0d14de6663205,522f0d3911d2f2b793480c9e,50424770e4b0068b20b9e8e5,4bbb2c0a935e9521aad42890,4e562f4c88778407705d93a6,53fdb19f498ed00f02ff45cb,51e99c62498ea1519cd495b5,4e20b488aeb7026395285312,4e5a3209fa76d2b00c174ddc,4e09cc4e6284d9ee92e499cb,516a798ee4b0657c8e4e1cf3,4ddcd78a1f6e54b34d9298c4,4d4e9bb9db1b3704054a0f1f,5ae1a520598e64002c13ab91,51d6ff7f498e51494b0eed98,503b93e4e4b0451d7e04ac45,4efeea3530f89923316826d8,504b86c8e4b0548541d1e8e6,518cf9dd498e29a3b9f9fff2
1,3.004888558230994,4.996216283809941,4.975837720513434,3.994657322477944,1.0203315273228282,4.992614584379495,1.0156697126901344,3.006495972102861,1.0279038458156575,4.955336057647511,2.023657950290075,4.996873616293032,1.020757079854112,1.0354768677010102,3.993515924319705,2.028546365596652,2.0182425601421743,4.95601330759583,2.9929452323369867
2,1.0115694745459674,6.008288987529337,4.949177438712356,1.032815750874946,5.995471425457447,3.002882014013174,4.983236733080831,2.9910678794988153,1.0004747384856867,1.022295067296794,2.0121800740992417,1.0026680613993224,5.002665278786921,2.0260069629712323,4.010829916882963,5.021169733181421,5.939740196459244,1.0063115348918434,2.9929341384617145
3,3.987307665743736,4.989806218912246,4.001999035406029,4.9728223219952765,1.0295171999122257,4.99567668677108,2.9862378515727004,4.982558948199038,5.008381572310031,3.0067407331167626,1.026750873025859,6.004296376901076,2.024648163028888,3.999118565854892,4.0103425086457865,4.958184312348633,4.017599681346123,1.0154168121654674,1.048121531441752
4,1.9958414444223975,3.0098676320215505,2.006429945271462,3.0051761721771753,5.964138140182316,5.976696143642971,1.0320088752914565,4.003307268898894,3.9985354423617334,4.988939388137285,2.020451161216833,4.982101199424081,5.997861541897354,4.022079823770118,4.990973570047444,3.0101263608687416,4.973568582042001,4.991139506524769,2.0465558125507752
5,1.018153191940205,4.006438050612649,2.0283239828982644,5.994540138963135,2.982917369499016,6.001601006669735,3.9611207228033876,3.035628616067366,4.981428627790862,5.996118297355836,2.0160685273025662,1.0751643085265745,5.978593266575069,5.001434350144241,4.983801280047781,2.017103175482879,2.0226211597492822,5.9917421105318285,4.988740099557656
6,3.010801877809374,2.019360758605293,3.9982421011876546,2.0119205510186657,0.9938027278054795,2.00746103722664,4.997601519099369,5.975777102433615,1.004442451869211,4.962087724370254,2.002316976633353,4.009827931156485,3.979401966401783,5.959033535258772,2.012865231717473,3.996928257932368,4.981538499112815,5.957051648677691,4.95948948005358
7,1.0177342149108273,4.008305001257842,1.0144012756798446,3.005143232489594,5.964577592308392,1.044157287496846,3.004317261765225,2.01330424535057,0.9804202296568438,2.9877495117066886,4.016268956878106,1.0014870811761751,3.9891389478845034,4.016316377470201,3.998758854270508,5.989709492341568,1.0122844993064892,4.003059963566279,3.0007059539617966
8,3.0382103487631866,5.9666428122285655,3.9953164933760017,4.002396289368304,2.9941178881695,4.971923254236161,2.026799840319159,4.989548671547411,1.9943858775870138,3.0001631399393194,5.976456441181602,4.995729496984631,2.005498187546535,5.985191548656428,5.950280446824233,5.996356610020985,3.9844151082702157,4.999771826803116,4.970795380237066
9,6.012366860348026,1.005842089423703,2.0159367654645837,3.0114893683787227,2.003222132364303,3.0068845497109393,6.01926806859296,2.0299395344882134,1.0453388366041971,1.0266169468020954,3.99193966587477,1.0424555705296488,2.0007397825574977,4.999668190591864,2.0118230550947462,4.014978852860356,3.02365289544974,5.97866591061462,1.0024525921600447
10,5.9887711773164085,1.0114193203092428,2.9822777523367985,1.0158332899326643,4.9889938578888104,1.0106146403559935,5.994552314493858,3.002362208747435,5.935716491589664,1.0093348085374032,3.9991159410400785,4.9540162666924195,3.010488501140253,4.007023227899606,3.982445032799871,5.002070367984899,5.986108481623094,3.993723288574736,2.9715566570339638
