User ID,5375d200498eabb5b8710c8d,50707208e4b0cff861b2f22d,4ce37f97a3c6721e53cf10cf,4ea1f20f5c5cd12b356df8fd,53654cba498eb6229e4c1fd3,4d19a1ae81cea35d1582f6ec,5882f09d7b88a73bb3e5b5cb,58b6c06b102f471b835056a3,56360f9c498eccf54a14c5f8,5482d04b498e985cf4c4b6e5,52795002498e1f960641973f,5360e4ae498e7a9783e399a3,58c3edcc26a40712f78f515e,543ffc03498ef2c0e1045605,524d6eb3498ee3a28914a111,524d73a9498e0517797427c3,52cfd40c11d2437404287e20,4be3ad9421d5a59367d91911,4b602959f964a520f7d729e3,4c94c58f94a0236af5618f12,4bb733c5f562ef3ba91a3197,5a142268419a9e7a3dbd3d48,5a14245a6bd36b576ce1fa9e,543ffe0e498e4aa9300e8665,4e7f71dedab454087b45950e,52c1ade411d2cfa8dc7b7529,4e356e31483bf3839a2e4d44,4d64a42f6ccdba7aaa6d9ac3,4e643f1a7d8b85408a7351e6,537b4e98498e0a58c09af7d8,521f1e6111d21ac51d08992e,5aa15c8b66f3cd226a29a75f,52eb5018498e7977ca026263,5400d6d5498e28387bfa6c82,50ca02c0245f2d4aa8c2b260,52654e1011d21121b1c3dde3,4b0587f3f964a520eba822e3,57791567498eceb358368650,54046431498ed729c05d04eb,52d902c311d2b72949384db2,543ffda7498e3fe882597d63,58c26e7d297c16462e592d92,58c27c9537da1d593433db28,4fe728f9e4b05fe3b7db1fb0,4fe7295ee4b0c9ca8a433577,4fe728bae4b01b7b6c4e78c5,58b05785cf445111b7d1fb26,529b362e11d2458deca7d07e,4d9c4b5933caf04d23d9d6c5
1,5.0023903037628425,4.983756293651579,3.0091501400033334,6.029315764463921,4.981993832385671,3.9965486766910807,2.03160824309523,6.019029202218014,5.999291466766081,1.0666371195671709,2.030255041876364,2.998672991757416,5.98499507522785,1.0180383074674668,6.008916902344742,1.0167977303676508,6.012108584563705,2.9993642027729757,6.018693162049567,5.0278347640643855,2.0123778370020307,1.9919022420334578,4.0021852548596755,5.994787978186612,4.970705318115794,5.003829660245505,5.005388619792393,1.000429578467609,2.022773001736333,0.9947076027890094,5.022178542047474,0.9989719115902342,5.97317310268752,3.00856563758878,1.015101287345873,1.0385908197658469,5.9918699035037255,1.043934120360547,1.9914632490699575,3.0224201775594906,4.996438538940589,5.9903111793990185,3.052105669532061,5.969954483485066,5.001035014124488,5.003174535543946,4.012319606468584,3.028881653535282,3.011752600817883
2,3.977578471812917,4.0229404410306895,3.9845763348572367,2.993421842041926,2.018945551080159,1.042191741809892,3.969197422850208,1.0142389124195903,3.9944912680087845,5.973236702347065,2.012477330292212,1.02716508692754,5.968202426475926,1.0120054121552169,1.0360627446291177,4.977931074595147,2.010428388218464,1.0338140311047717,3.0076395188065743,3.9797079581482286,4.008032129257697,1.0141068540422302,5.961107543023234,3.998196413584212,4.019868435893469,3.0074178681731585,2.00975091127549,3.007158197609869,4.9612758662154635,1.9941301820277795,4.9789202412970175,2.998187717301776,3.9982013075703295,5.983621969410738,1.0214636162955446,4.998741545757395,6.003095514818961,4.969099355683245,1.027846443994477,4.008725391530075,4.026413710453994,2.0274087348109804,1.9977606749353003,5.0033560579105565,4.005200996293319,2.994030748790953,5.015767167328351,5.967024964397719,2.9873480706875215
3,5.970569065334912,2.987049407486804,3.9988620263379113,2.001830420458358,3.019422105393786,3.9561844851479515,4.981653263287338,6.024118202491382,3.013221032919806,2.0394174648380776,5.985625271912902,3.998455274552338,4.981699118080188,5.967347307252467,4.979117640374068,4.9133829801648,4.003183747607673,2.01571262293229,5.9842763818742615,4.965137913666929,1.0188203951218955,5.96139518479968,4.94877744827766,2.997793345609942,4.98720082734202,5.016501633989642,4.997071678668021,2.9784155709691453,5.980768987035668,4.985045368721915,5.99725231010561,1.996151009628113,5.935408419706285,3.9687584445263706,3.015406914769513,2.9914549927213434,0.9885427386914309,2.0123949531330236,3.035296313010313,1.0536151288899358,1.9919508837338755,1.0257580372156876,4.0196476949470235,1.0057587214839754,5.973536471064801,3.0071624393871628,0.9991953547067265,2.9628090889929872,4.990304949254673
4,3.9984650506686057,5.973766161778681,2.0430090475588623,0.9927995135664167,1.9938857418430924,5.006913404539614,3.0038527227066414,1.034709246358386,2.9863370512750533,1.9895066874667546,2.047958023928687,3.982513331859154,3.9667017377918556,4.967116397160945,5.00068111827164,6.018114267442151,3.011946496401465,4.95258376997692,2.047463346213906,5.993436102426537,2.9905870862071473,5.014693862956665,3.996684790638012,2.983978584009074,5.987044852949335,3.9804263652685394,1.0376360120969395,4.986386918589797,2.019507102018661,4.961770721489425,3.025055335307962,3.9627133890830333,4.9937297326546775,5.967300785879967,4.035632583305446,4.039188862864213,2.969709911412882,2.9653676908813176,1.9892068275241175,2.99059716331572,5.9726179555803425,2.992276955534012,1.047387736381816,4.994116080010171,5.962537713382622,2.010864067785022,3.986405322142524,3.00833553866509,3.017688460710469
5,3.988492846509287,4.978396740192232,4.011589866348577,5.98266675337023,1.0459641541756255,4.9629248743224785,3.9801086708970144,2.0311344489580225,5.990916309548744,5.959460764680079,2.004875188299046,1.999271413275286,2.0248088989788533,3.953325907570344,4.992123901670465,5.978687698416393,4.978218838431037,3.9623744912130876,3.0360283725684387,5.96752571216544,3.004467998952908,2.9932672514689047,3.9911651254549874,2.0388974935010267,2.039558861583216,4.00264381603053,2.0163977784504183,2.9854617626754645,3.0172247680724538,1.9753039961359198,5.9868493169628625,1.0061762267253946,1.062541000954654,4.0001175466572025,4.967127156124507,4.987180965474156,2.0537600796508224,3.983897923929678,1.0198430359367565,4.02683192670187,4.992921935569458,4.992279737103377,6.001618986766742,4.01183967677892,5.967625752279819,5.005392175204266,5.983780310665672,5.9579335966278375,3.0126826402373963
6,4.982257363174615,3.019506427245134,3.9971471226173207,3.986347226361087,3.01305570877987,2.0074708195016604,4.995605545313028,5.972769952161141,4.012982120062043,6.015207760022006,4.0119159937183895,5.924219761329562,5.0138649546726946,4.997263248633462,3.014318321874087,2.0019306172614746,4.979183020696779,3.992579880787451,3.0403144966724835,2.0490532462989846,4.003760423728484,3.007646492154253,4.965260235974483,3.9768123347130273,4.009604178107695,5.997760575095396,3.0058853734448,3.9602883131967506,5.0406325336358515,5.00456880731438,5.987064781154992,3.993108263072312,2.008656690481224,3.0375414125575224,3.9700574639034514,3.0233323217750048,4.934733948954319,5.995192231323813,5.996913804892589,4.995674219350029,2.0304722553047734,2.9996796220355586,3.025013939818811,2.986014351609096,5.981694490259227,2.0495201829531053,3.9707414060748185,2.988144353788613,3.0420986808960375
7,2.0144273181515877,1.9875618606333232,4.97575975316308,5.021987896141348,2.0080961006814375,3.99293186931257,2.0319542855322745,2.0151589988858634,3.9803783219517785,3.980867996865416,2.9905376439638367,4.000346710617361,1.037877102470849,1.0452486129998864,5.967933650771311,4.9586624791437215,2.0116714534491846,1.0251806893079358,2.021962290154691,2.0029969528692986,3.0181211656036484,1.9927138266870652,2.9837754734365194,1.0377406188181006,3.9931597292578624,5.991380287228152,2.005358590276864,3.0040015485491187,1.0454318900944606,1.034022596815117,3.98868188950607,2.0067023192178466,5.003426587515415,4.9771400785910895,3.994550259163148,5.963148283093726,6.016894527979728,1.0157496745393266,3.0383412976211694,5.005805979391271,6.001029886484494,4.005822009654552,5.006117807225974,5.990865725221468,3.008472722596741,1.0310400096005923,5.9824446982551756,0.997679966898112,1.0109561750753562
8,5.969345855795229,4.982693514813515,2.999190297049334,1.9529142950420744,1.9994605556040728,3.988121253567999,4.956027314575202,4.021472787062958,1.9913138294891397,1.0258875717080786,1.035622728338423,5.976183295724762,4.99014493768056,1.954942745721766,0.9834827601330178,1.9828791024524821,2.009353379003091,3.978803383526772,4.960205081031868,1.0021538219678199,2.9973808309377086,5.960399370388686,4.998652351552131,5.978236677297412,5.997750606524397,1.0138617528697504,4.975316304421169,5.0028545511391656,2.9975020940756467,4.9952960498968615,3.9895070294497113,2.0163664931686642,5.947826235460404,2.0134993502362972,5.990538551243543,3.0107960528033884,5.981621476585023,1.0096348444216967,1.0286959518517391,4.979590348128985,2.9869913954952767,4.955934183908372,1.9599281296998852,5.002949218966914,4.9800738636140975,3.941687573985713,4.970693542375734,4.95790172769064,3.9786224163527972
9,4.997910699239499,6.020177302170945,5.00975712959066,0.9991884127886883,4.987701488028501,2.041695651321363,2.0408907001686396,4.991948206151216,2.9980506444758808,6.025508056805828,6.002051223178622,3.035556180089089,4.998779083478783,1.0538838394623293,3.0129123294685796,1.0722503703329074,5.982873216688478,4.0017219066278535,5.96735698891574,4.018890066227466,5.98139775509972,3.987451391580093,2.061528048183004,3.0464268767273652,6.012244538778452,5.999217358187156,4.984198273662484,2.0676435959904436,4.993705948899309,1.085416314746563,5.004340898829081,1.073847060366963,3.024090455383794,4.062002966694124,4.02443819338445,5.033470690306413,1.0366938995507553,5.033440590734088,5.975157062778258,5.985359903564259,3.042262285872477,3.9773696938314025,4.957286169780402,4.015335048836446,4.036865193956223,3.990056002779622,2.0497148587156864,3.024164041563454,4.994532729018589
10,3.0549879080569187,1.0070509398789218,2.0327608737695284,4.993862144821746,2.0178768802484885,2.063339341167094,6.002935695871506,1.1095700603419476,4.995511585211292,2.99898041525475,2.059589384872492,3.00212010633199,5.968182639315693,6.0033738352391595,4.99659100682232,2.051073293157457,1.013896713548891,3.9939418016452732,4.030656856048908,4.0058430309799595,2.0053206233900593,4.021639722135738,1.08633062191368,1.0213008859428152,3.0184426740828467,5.008276720578932,2.065390692978129,1.0249916512539212,6.008793687814601,5.02525697075249,4.048299856600127,2.011601266889434,5.99943535380356,3.020927332081147,1.044535040881836,1.0330047168504,2.9635224135451903,3.9654499050924983,3.975516775494281,4.9598932022213535,4.979254551024695,4.953082053584637,6.004616378954381,1.0075725896594756,5.988619707756909,4.9980278092684145,2.9846808911517946,3.0059573622936835,4.00877349011551
