User ID,4b0588d8f964a520c7dc22e3,4b7567bef964a520a50a2ee3,5762bf8b498e426546fecee5,4db04a4293a06157683f971c,4e54ddb27d8b96cd0611ce55,57243f3ecd1051829c218e56,4d68cbf1fd7ea35da3ee9c4a,59bd1ad12bf9a9618c67c816,4e9ace205c5ce9b9830ac486,4c63c9bdfa7bc928d6611127,5770a8a7498e96ab8350a460,4e7569bbb61c22c6382d8f5d,56822a6b498ebdd3fae43829,4c6f5188d97fa143bce5f2ca,584d41225804ea0f94597781,584bee2dd4ab732bb1949d65,4df70dcc1495dd5ffb84e7ae,4df70073d22df20cc2d6356e,557548e8498e4ce26d171614,4c0f94fe336220a1cdf5cd77,4d39535749cb236ae8eaae47,51431292e4b00a5cc2b8afca,4d4deb8981955481284add93,59d1c5473b830778edca91c2,4d15eb6c85fc6dcbf56aa34e,5a9294002c7eb9116fffdc80,59d072b0c0af57169908b92c,593ca3217564f74a3f4fb482,4db67e51fa8c35024111666f,59575bf735d3fc2b1f64bf75
1,5.998323056316407,4.018841549590435,2.0225494133432926,4.01616859386727,4.990423222645278,4.031313386182441,4.991946856538309,4.010761010827115,3.0022732070182117,5.971332214182779,4.992102395899349,3.0046868472663326,3.9804038943585636,3.0292056235660736,2.998969902386689,1.0119764365534956,5.998957071271091,4.977491728273582,5.97808362696612,4.986356187661471,1.0394578143748667,5.974340464183564,2.0275260607796417,2.0003394112253954,3.9714253289373476,3.9936368591339284,0.9938604308070522,1.0270398952516548,3.00434878330375,4.988675750181072
2,2.013781839099264,3.9693929504722822,3.0004493827983874,1.9979798997921405,3.9974529597185176,5.999980116790174,0.9947660161891014,2.024754017645864,2.007891191876724,4.980958880948913,4.9878160485525616,2.03326754424435,1.0005407989042552,2.017795901393939,2.0297476117579336,1.0212910582412933,4.9860271681915815,2.996164837648722,3.980172810727611,4.981178397104882,0.9939671433259654,2.027354436612932,0.9920999792173841,2.9842060604472804,4.008319428224027,1.992397424600207,3.012822503930578,4.987905198080265,6.011655831699275,5.996984391121678
3,0.9988991231833455,1.9909321089628786,2.015325215781602,5.980769315564284,5.962252485275658,2.0082793379298,0.9946589434234223,2.0137812359540064,3.0079687614808073,2.0070509548007425,3.998579048907264,4.983825029194131,3.9892777322582456,2.0154747207300447,3.0020863078715507,4.978548441808673,3.0058383825127732,5.97556520416313,5.968317038603637,2.9881754926644786,3.008361683043668,4.969788638332773,5.958125733275082,4.974101813517013,5.987900029824929,3.0016780768479494,3.99979834122083,2.0049583893789293,1.0089733037889337,4.987399505933838
4,1.9859749217255196,1.037227152082858,5.985822321766792,1.0569960440264392,5.992381950446868,2.0718472909658026,5.9600844242751805,3.982211126830949,4.01503434019526,3.9977422694673916,4.981044636390561,4.0083305656306205,3.9936730753427203,4.015736195505153,5.991938858908708,4.024445911365714,2.99812416455963,1.037793845606224,3.0163906709708717,3.998695292939428,4.015466726107759,4.987983911356702,3.0383976904228236,4.997054348362544,5.981843303906508,5.9749402342545075,5.996442825899948,6.002335899883491,4.999106608312076,2.06027257472428
5,3.983560095817296,0.9894935451331517,2.9790629864055367,4.956540589514919,2.0051858804369878,5.0050439785819005,2.984705876809027,5.976805238535039,3.9883775402845814,1.0125468102529243,2.006974302104797,3.995275520144398,2.0051084041047,4.977007455870642,3.9974397213072104,4.982007716257748,5.95694746711751,2.98798901827584,3.0036351544799538,2.015362178457191,2.972253893797648,0.9938031525448601,0.9967577091427522,1.0061567853094262,4.968166237488474,3.982747154853876,2.0048395144530127,1.0157453310657436,2.0246732803452434,3.0109630122204
6,3.9879674008136963,6.0105400980987636,2.0399483579112916,4.994153850330604,4.002015031911906,2.0345247128279054,1.0545734495271932,5.958232895342616,3.0375677349977592,1.0759877631146648,4.997278872434283,5.954715276497138,6.0015892382115315,3.017385924489204,1.0406731703274956,0.9996288799724207,3.990999811190782,3.9898189798910315,2.02891282501871,1.0069257725368552,5.023432566316927,6.017796781278344,5.990721895319393,1.0499881903728148,1.0180886833890685,2.009339732722716,2.003381690113012,4.0168892711911335,4.013048035183606,3.0264320245164256
7,2.0243266462386367,2.001168883690121,3.9761703883196597,0.9903366856888693,3.035870340526026,2.993827071398516,3.990505605865854,3.9983922051841385,5.95091368835195,5.986990189717254,5.984759403671185,1.049348305451006,5.953302501943213,2.9941224986777386,3.9988485301410748,1.9942481900702118,2.0099111809145334,1.0122502424266544,3.006289003352073,3.998706995725154,1.992351451938319,5.008139209156208,4.994880571179788,5.964808419558015,4.986626107133075,3.0036680541729552,1.0257997644576264,2.032369370433234,5.989255710114441,3.988635988295026
8,4.9750473338212355,1.0052004852031113,1.0045704253688057,1.987383293145787,3.990285184097085,5.009825022199103,3.0268894805913122,5.971425374926999,1.0170536468814846,2.03176651230487,2.9999313713510354,5.962323435525466,4.968307979123694,4.984543576338321,4.98302493973036,4.980178657429617,3.0017829096345894,1.9963980338034961,2.998298863092608,4.991671001320693,1.0110390131118747,4.980460675756237,3.958667529983016,1.0036292132644533,1.9914220963703397,4.98085198262624,1.995623984949988,2.0186858089652464,4.9963733055419794,3.0010006849641755
9,2.9693970757288892,5.970535314606502,5.98308429171048,5.993717279221313,5.999720160001605,5.961949514184402,5.958441962277987,0.9878725982848611,2.9972867394601783,2.986457436671014,2.0165042445855312,2.018526351244403,3.008175696884293,5.962529508468404,3.986169024101406,1.02291990011111,2.9695776834521737,1.9988868888737041,3.9984172804852522,1.9719774264465562,5.990868369781973,4.010526119155447,6.029085309292352,3.0025466988984046,1.0071475409315855,5.969105559331699,2.034312594940448,5.002580077619058,1.002995987328057,1.9961059616494803
10,1.0111095689550986,3.008722640213052,4.9816526875350124,3.0053090357884598,4.981209675222701,6.005313273411296,4.00091186638349,3.010625394785847,3.9979969589768105,2.988472088607456,1.0471631931366399,3.9930140807352412,3.0049057750424693,4.989979203244569,4.993838049478722,2.019951874289305,2.019459623709839,1.016668293086084,2.008428013685342,1.0265974543938743,3.023907207782761,5.965486262483308,1.0543569815592413,1.0265477780032028,2.016340362392156,4.01195756205043,3.9977811140302384,4.025717454564338,5.000015181927534,4.96869444166892
